Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:35:26 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	25.60%	18.69MiB / 128MiB	1.95kB / 0B	14.8MB / 0B	10] [Container2: 55e90f8c969e	24.68%	20.14MiB / 128MiB	2.16kB / 0B	24.3MB / 0B	10]  | 2025-03-16 14:35:29 TegraStats: RAM 2056/3964MB (lfb 92x4MB) SWAP 40/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@307,21%@307,15%@307,16%@307] EMC_FREQ 22%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27C AO@33C thermal@27.5C POM_5V_IN 1762/1822 POM_5V_GPU 39/59 POM_5V_CPU 352/542 | [Container1: 2025-03-16 14:35:27 Container1 PerfStat: 1.000516299          1 869 670      cache-misses              #    3,013 % of all cache refs] [Container2: 2025-03-16 14:35:29 Container2 PerfStat: 3.007323820          1 819 079      cache-misses              #    3,139 % of all cache refs] 
2025-03-16 14:35:31 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	24.75%	24.6MiB / 128MiB	2.36kB / 0B	16.9MB / 0B	10] [Container2: 55e90f8c969e	27.86%	28.01MiB / 128MiB	2.36kB / 0B	35.2MB / 0B	10]  | 2025-03-16 14:35:34 TegraStats: RAM 2065/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@1224,38%@1224,19%@1224,18%@1224] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1837/1818 POM_5V_GPU 156/65 POM_5V_CPU 391/517 | [Container1: 2025-03-16 14:35:32 Container1 PerfStat: 6.003829619          1 654 394      cache-misses              #    2,720 % of all cache refs] [Container2: 2025-03-16 14:35:34 Container2 PerfStat: 8.014123719          1 942 805      cache-misses              #    3,121 % of all cache refs] 
2025-03-16 14:35:35 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	25.53%	30.65MiB / 128MiB	2.36kB / 0B	17.1MB / 0B	10] [Container2: 55e90f8c969e	25.10%	35.12MiB / 128MiB	2.36kB / 0B	47.4MB / 0B	10]  | 2025-03-16 14:35:38 TegraStats: RAM 2080/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@307,24%@307,16%@307,20%@307] EMC_FREQ 16%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27.75C POM_5V_IN 1490/1808 POM_5V_GPU 78/62 POM_5V_CPU 313/500 | [Container1: 2025-03-16 14:35:36 Container1 PerfStat: 10.006617577          2 081 381      cache-misses              #    3,344 % of all cache refs] [Container2: 2025-03-16 14:35:38 Container2 PerfStat: 12.016442352          2 053 977      cache-misses              #    3,354 % of all cache refs] 
2025-03-16 14:35:40 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	27.48%	35.07MiB / 128MiB	2.36kB / 0B	17.1MB / 0B	10] [Container2: 55e90f8c969e	16.27%	38.09MiB / 128MiB	3.62kB / 1.35kB	53.3MB / 0B	12]  | 2025-03-16 14:35:43 TegraStats: RAM 2086/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@518,19%@518,15%@518,16%@518] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27.5C POM_5V_IN 1375/1781 POM_5V_GPU 39/60 POM_5V_CPU 392/486 | [Container1: 2025-03-16 14:35:41 Container1 PerfStat: 15.011832573          1 229 721      cache-misses              #    2,023 % of all cache refs] [Container2: 2025-03-16 14:35:43 Container2 PerfStat: 17.019199992            602 264      cache-misses              #    1,127 % of all cache refs] 
2025-03-16 14:35:45 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	25.96%	40.57MiB / 128MiB	4.08MB / 18.6kB	17.4MB / 0B	16] [Container2: 55e90f8c969e	24.62%	47.79MiB / 128MiB	4.08MB / 26.3kB	53.8MB / 0B	16]  | 2025-03-16 14:35:47 TegraStats: RAM 2098/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@403,18%@403,24%@403,12%@403] EMC_FREQ 2%@1600 GR3D_FREQ 88%@76 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27.5C POM_5V_IN 2217/1841 POM_5V_GPU 155/66 POM_5V_CPU 583/514 | [Container1: 2025-03-16 14:35:45 Container1 PerfStat: 19.018251955          2 286 912      cache-misses              #    4,033 % of all cache refs] [Container2: 2025-03-16 14:35:47 Container2 PerfStat: 21.021231020          2 544 569      cache-misses              #    4,612 % of all cache refs] 
2025-03-16 14:35:49 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	25.35%	50.66MiB / 128MiB	4.35MB / 20kB	17.6MB / 0B	30] [Container2: 55e90f8c969e	24.80%	57.55MiB / 128MiB	5.17MB / 706kB	61.7MB / 0B	25]  | 2025-03-16 14:35:52 TegraStats: RAM 2109/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@614,18%@614,18%@614,17%@614] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 2260/1918 POM_5V_GPU 77/66 POM_5V_CPU 739/560 | [Container1: 2025-03-16 14:35:50 Container1 PerfStat: 24.022734551          1 656 332      cache-misses              #    2,968 % of all cache refs] [Container2: 2025-03-16 14:35:52 Container2 PerfStat: 26.026499037          2 241 854      cache-misses              #    3,946 % of all cache refs] 
2025-03-16 14:35:54 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	24.84%	52.87MiB / 128MiB	8.09MB / 3.36MB	17.8MB / 0B	24] [Container2: 55e90f8c969e	24.44%	61.47MiB / 128MiB	9.48MB / 4.36MB	61.7MB / 0B	25]  | 2025-03-16 14:35:57 TegraStats: RAM 2118/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@518,19%@518,18%@518,20%@518] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 2143/1981 POM_5V_GPU 155/68 POM_5V_CPU 467/584 | [Container1: 2025-03-16 14:35:55 Container1 PerfStat: 29.028497883          3 084 468      cache-misses              #    5,175 % of all cache refs] [Container2: 2025-03-16 14:35:57 Container2 PerfStat: 31.028993863          2 837 280      cache-misses              #    4,682 % of all cache refs] 
2025-03-16 14:35:58 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:00 TegraStats: RAM 2012/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [41%@1224,36%@1224,37%@1224,40%@1224] EMC_FREQ 3%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 2182/2020 POM_5V_GPU 38/67 POM_5V_CPU 817/612 | [Container1: 2025-03-16 14:36:00 Container1 PerfStat: 34.032622613            114 717      cache-misses              #    0,191 % of all cache refs] [Container2: 2025-03-16 14:36:00 Container2 PerfStat: 34.030626665            148 267      cache-misses              #    0,247 % of all cache refs] 
2025-03-16 14:36:02 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:02 TegraStats: RAM 2013/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,11%@204,12%@204,12%@204] EMC_FREQ 19%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1180/1996 POM_5V_GPU 39/66 POM_5V_CPU 157/597 | [Container1: 2025-03-16 14:36:02 Container1 PerfStat: 36.036173295      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:02 Container2 PerfStat: 36.032901560      <not counted>      cache-misses] 
2025-03-16 14:36:04 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:04 TegraStats: RAM 2014/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,4%@204,8%@204,8%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27.25C POM_5V_IN 1141/1964 POM_5V_GPU 39/66 POM_5V_CPU 157/580 | [Container1: 2025-03-16 14:36:04 Container1 PerfStat: 38.037724072      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:04 Container2 PerfStat: 38.034571140      <not counted>      cache-misses] 
2025-03-16 14:36:06 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:06 TegraStats: RAM 2015/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,10%@102,12%@102,6%@102] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33.5C thermal@27.5C POM_5V_IN 1180/1964 POM_5V_GPU 39/66 POM_5V_CPU 196/585 | [Container1: 2025-03-16 14:36:06 Container1 PerfStat: 40.041580902      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:07 Container2 PerfStat: 41.039696668      <not counted>      cache-misses] 
