Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 15:00:59 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	25.00%	16.88MiB / 128MiB	1.05kB / 0B	14.9MB / 0B	10] [Container2: ed7f27d2dc0a	24.86%	19.97MiB / 128MiB	2.16kB / 0B	23.5MB / 0B	10]  | 2025-03-16 15:01:02 TegraStats: RAM 2070/3964MB (lfb 92x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [33%@1479,25%@1479,26%@1479,24%@1479] EMC_FREQ 4%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27.5C CPU@29.5C PMIC@50C GPU@28C AO@34C thermal@28.5C POM_5V_IN 2976/2120 POM_5V_GPU 38/66 POM_5V_CPU 1314/815 | [Container1: 2025-03-16 15:01:00 Container1 PerfStat: 1.000411090          2 443 166      cache-misses              #    2,823 % of all cache refs] [Container2: 2025-03-16 15:01:02 Container2 PerfStat: 3.001132019          2 292 119      cache-misses              #    3,137 % of all cache refs] 
2025-03-16 15:01:03 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	23.95%	25.26MiB / 128MiB	2.21kB / 0B	24.3MB / 0B	10] [Container2: ed7f27d2dc0a	24.15%	26.32MiB / 128MiB	2.36kB / 0B	23.5MB / 0B	10]  | 2025-03-16 15:01:07 TegraStats: RAM 2075/3964MB (lfb 92x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@307,18%@307,20%@307,16%@307] EMC_FREQ 17%@204 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@34C thermal@28.25C POM_5V_IN 1569/2057 POM_5V_GPU 39/60 POM_5V_CPU 353/707 | [Container1: 2025-03-16 15:01:05 Container1 PerfStat: 6.002219611          1 921 841      cache-misses              #    2,684 % of all cache refs] [Container2: 2025-03-16 15:01:07 Container2 PerfStat: 8.003723304          1 435 817      cache-misses              #    2,137 % of all cache refs] 
2025-03-16 15:01:08 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	24.61%	34.32MiB / 128MiB	2.21kB / 0B	39.3MB / 0B	10] [Container2: ed7f27d2dc0a	24.27%	31.44MiB / 128MiB	2.36kB / 0B	23.5MB / 0B	10]  | 2025-03-16 15:01:11 TegraStats: RAM 2084/3964MB (lfb 92x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@518,20%@518,17%@518,15%@518] EMC_FREQ 2%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@29C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1876/2091 POM_5V_GPU 39/63 POM_5V_CPU 430/713 | [Container1: 2025-03-16 15:01:09 Container1 PerfStat: 10.004882621          2 086 035      cache-misses              #    3,085 % of all cache refs] [Container2: 2025-03-16 15:01:11 Container2 PerfStat: 12.006207563          1 676 075      cache-misses              #    2,550 % of all cache refs] 
2025-03-16 15:01:13 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	25.45%	38.42MiB / 128MiB	2.21kB / 0B	46.2MB / 0B	10] [Container2: ed7f27d2dc0a	12.64%	34.12MiB / 128MiB	3.62kB / 1.35kB	23.5MB / 0B	12]  | 2025-03-16 15:01:16 TegraStats: RAM 2091/3964MB (lfb 92x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@307,14%@307,16%@307,13%@307] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@34C thermal@28.25C POM_5V_IN 1530/2055 POM_5V_GPU 78/65 POM_5V_CPU 353/687 | [Container1: 2025-03-16 15:01:14 Container1 PerfStat: 15.007400259          1 828 924      cache-misses              #    2,816 % of all cache refs] [Container2: 2025-03-16 15:01:16 Container2 PerfStat: 17.009877239            742 151      cache-misses              #    1,242 % of all cache refs] 
2025-03-16 15:01:17 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	26.42%	42.39MiB / 128MiB	4.08MB / 21.1kB	46.4MB / 0B	16] [Container2: ed7f27d2dc0a	24.70%	40.4MiB / 128MiB	4.08MB / 22.6kB	23.5MB / 0B	16]  | 2025-03-16 15:01:21 TegraStats: RAM 2105/3964MB (lfb 92x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@518,8%@518,20%@518,21%@518] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@29C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1876/2007 POM_5V_GPU 39/63 POM_5V_CPU 546/656 | [Container1: 2025-03-16 15:01:19 Container1 PerfStat: 20.011713688          1 878 626      cache-misses              #    3,300 % of all cache refs] [Container2: 2025-03-16 15:01:21 Container2 PerfStat: 22.012507795          2 313 424      cache-misses              #    4,027 % of all cache refs] 
2025-03-16 15:01:22 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	24.38%	51.14MiB / 128MiB	4.34MB / 23.1kB	48.6MB / 0B	16] [Container2: ed7f27d2dc0a	23.97%	49.66MiB / 128MiB	4.61MB / 28.9kB	23.7MB / 0B	23]  | 2025-03-16 15:01:25 TegraStats: RAM 2116/3964MB (lfb 92x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@1326,19%@1326,20%@1326,21%@1326] EMC_FREQ 2%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 2143/2017 POM_5V_GPU 38/63 POM_5V_CPU 662/652 | [Container1: 2025-03-16 15:01:23 Container1 PerfStat: 24.014419615          2 101 363      cache-misses              #    3,686 % of all cache refs] [Container2: 2025-03-16 15:01:25 Container2 PerfStat: 26.015240284          1 894 198      cache-misses              #    3,298 % of all cache refs] 
2025-03-16 15:01:27 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	25.45%	56.85MiB / 128MiB	6.77MB / 2.02MB	53.9MB / 0B	27] [Container2: ed7f27d2dc0a	25.50%	51.81MiB / 128MiB	8.85MB / 3.45MB	23.7MB / 0B	23]  | 2025-03-16 15:01:30 TegraStats: RAM 2124/3964MB (lfb 92x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@1479,30%@1479,29%@1479,28%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@28C CPU@29.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 2559/2046 POM_5V_GPU 77/62 POM_5V_CPU 969/663 | [Container1: 2025-03-16 15:01:28 Container1 PerfStat: 29.018440438          2 328 461      cache-misses              #    3,948 % of all cache refs] [Container2: 2025-03-16 15:01:30 Container2 PerfStat: 31.018118706          3 232 678      cache-misses              #    5,382 % of all cache refs] 
2025-03-16 15:01:31 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	25.16%	61.83MiB / 128MiB	12.1MB / 6.73MB	53.9MB / 0B	27] [Container2: ed7f27d2dc0a	24.51%	55.3MiB / 128MiB	12.2MB / 6.88MB	23.7MB / 0B	23]  | 2025-03-16 15:01:34 TegraStats: RAM 2073/3964MB (lfb 93x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@403,10%@403,18%@403,12%@403] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.25C POM_5V_IN 1876/2082 POM_5V_GPU 39/60 POM_5V_CPU 351/684 | [Container1: 2025-03-16 15:01:32 Container1 PerfStat: 33.020843030          2 863 895      cache-misses              #    4,667 % of all cache refs] [Container2: 2025-03-16 15:01:34 Container2 PerfStat: 35.020567965          2 706 258      cache-misses              #    4,404 % of all cache refs] 
2025-03-16 15:01:36 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:36 TegraStats: RAM 2013/3964MB (lfb 98x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@307,10%@307,12%@307,13%@307] EMC_FREQ 17%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1490/2099 POM_5V_GPU 39/62 POM_5V_CPU 274/698 | [Container1: 2025-03-16 15:01:36 Container1 PerfStat: 37.023679635      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:37 Container2 PerfStat: 38.023725514      <not counted>      cache-misses] 
2025-03-16 15:01:38 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:39 TegraStats: RAM 2014/3964MB (lfb 97x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,7%@102,5%@102,8%@102] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1141/2071 POM_5V_GPU 39/64 POM_5V_CPU 157/679 | [Container1: 2025-03-16 15:01:38 Container1 PerfStat: 39.027306151      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:39 Container2 PerfStat: 40.027416770      <not counted>      cache-misses] 
2025-03-16 15:01:40 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:41 TegraStats: RAM 2013/3964MB (lfb 98x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,13%@204,12%@204,9%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1259/2036 POM_5V_GPU 78/64 POM_5V_CPU 196/659 | [Container1: 2025-03-16 15:01:40 Container1 PerfStat: 41.031437565      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:41 Container2 PerfStat: 42.029434477      <not counted>      cache-misses] 
