Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:39:02 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	24.72%	18.02MiB / 128MiB	1.6kB / 0B	9.16MB / 0B	10] [Container2: 27d1ee587b0f	24.96%	20.62MiB / 128MiB	2.16kB / 0B	29.9MB / 0B	10]  | 2025-03-16 14:39:05 TegraStats: RAM 2048/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,17%@204,16%@204,18%@204] EMC_FREQ 26%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 1569/2329 POM_5V_GPU 117/70 POM_5V_CPU 274/984 | [Container1: 2025-03-16 14:39:03 Container1 PerfStat: 1.001234896          2 242 131      cache-misses              #    3,072 % of all cache refs] [Container2: 2025-03-16 14:39:05 Container2 PerfStat: 3.005267768          1 528 708      cache-misses              #    2,614 % of all cache refs] 
2025-03-16 14:39:07 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	24.95%	23.34MiB / 128MiB	2.21kB / 0B	12.2MB / 0B	10] [Container2: 27d1ee587b0f	26.59%	27.46MiB / 128MiB	2.36kB / 0B	32.2MB / 0B	10]  | 2025-03-16 14:39:10 TegraStats: RAM 2058/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@403,15%@403,16%@403,17%@403] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1645/2259 POM_5V_GPU 39/62 POM_5V_CPU 392/888 | [Container1: 2025-03-16 14:39:08 Container1 PerfStat: 6.018087916          1 634 818      cache-misses              #    2,795 % of all cache refs] [Container2: 2025-03-16 14:39:10 Container2 PerfStat: 8.007134049          1 359 149      cache-misses              #    2,390 % of all cache refs] 
2025-03-16 14:39:11 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	25.13%	30.47MiB / 128MiB	2.21kB / 0B	29.1MB / 0B	10] [Container2: 27d1ee587b0f	25.48%	32.24MiB / 128MiB	2.36kB / 0B	33.6MB / 0B	10]  | 2025-03-16 14:39:14 TegraStats: RAM 2067/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@1479,24%@710,24%@710,20%@710] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27C AO@33.5C thermal@28C POM_5V_IN 1605/2194 POM_5V_GPU 39/59 POM_5V_CPU 430/832 | [Container1: 2025-03-16 14:39:12 Container1 PerfStat: 10.020930146          2 188 821      cache-misses              #    3,845 % of all cache refs] [Container2: 2025-03-16 14:39:14 Container2 PerfStat: 12.008488407          1 744 087      cache-misses              #    3,067 % of all cache refs] 
2025-03-16 14:39:16 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	26.02%	35.82MiB / 128MiB	2.21kB / 0B	30.3MB / 0B	10] [Container2: 27d1ee587b0f	3.11%	35.49MiB / 128MiB	2.36kB / 0B	40MB / 0B	10]  | 2025-03-16 14:39:19 TegraStats: RAM 2074/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,18%@204,13%@204,10%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1180/2113 POM_5V_GPU 39/60 POM_5V_CPU 196/755 | [Container1: 2025-03-16 14:39:17 Container1 PerfStat: 15.022679187          1 654 342      cache-misses              #    2,983 % of all cache refs] [Container2: 2025-03-16 14:39:19 Container2 PerfStat: 17.010844847             31 308      cache-misses              #    0,058 % of all cache refs] 
2025-03-16 14:39:21 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	11.74%	37.89MiB / 128MiB	2.98MB / 16.9kB	30.3MB / 0B	16] [Container2: 27d1ee587b0f	24.72%	42.16MiB / 128MiB	4.08MB / 20.7kB	40.1MB / 0B	16]  | 2025-03-16 14:39:24 TegraStats: RAM 2087/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@825,29%@825,22%@825,26%@825] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 2069/2050 POM_5V_GPU 117/61 POM_5V_CPU 546/704 | [Container1: 2025-03-16 14:39:22 Container1 PerfStat: 20.029342575          2 626 156      cache-misses              #    5,171 % of all cache refs] [Container2: 2025-03-16 14:39:24 Container2 PerfStat: 22.013621706          2 395 366      cache-misses              #    4,499 % of all cache refs] 
2025-03-16 14:39:25 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	25.16%	48.58MiB / 128MiB	4.08MB / 23.4kB	30.5MB / 0B	16] [Container2: 27d1ee587b0f	25.39%	55.6MiB / 128MiB	4.62MB / 27.6kB	47.9MB / 0B	24]  | 2025-03-16 14:39:28 TegraStats: RAM 2103/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@403,20%@403,21%@403,24%@403] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1991/2026 POM_5V_GPU 78/59 POM_5V_CPU 429/666 | [Container1: 2025-03-16 14:39:26 Container1 PerfStat: 24.030761412          1 903 997      cache-misses              #    3,706 % of all cache refs] [Container2: 2025-03-16 14:39:28 Container2 PerfStat: 26.015271742          1 824 054      cache-misses              #    3,437 % of all cache refs] 
2025-03-16 14:39:30 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	26.06%	53MiB / 128MiB	5.15MB / 46.4kB	30.6MB / 0B	25] [Container2: 27d1ee587b0f	24.80%	56.11MiB / 128MiB	6.27MB / 1.09MB	48.1MB / 0B	24]  | 2025-03-16 14:39:33 TegraStats: RAM 2105/3964MB (lfb 92x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@1036,22%@1036,18%@1036,18%@1036] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 2182/1998 POM_5V_GPU 38/57 POM_5V_CPU 700/649 | [Container1: 2025-03-16 14:39:31 Container1 PerfStat: 29.032823372          1 909 291      cache-misses              #    3,609 % of all cache refs] [Container2: 2025-03-16 14:39:33 Container2 PerfStat: 31.017529744          2 382 798      cache-misses              #    4,338 % of all cache refs] 
2025-03-16 14:39:34 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	25.31%	56.36MiB / 128MiB	6.33MB / 1.31MB	30.6MB / 0B	25] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:36 TegraStats: RAM 2054/3964MB (lfb 93x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@825,31%@825,25%@614,30%@614] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@27.5C POM_5V_IN 2143/2013 POM_5V_GPU 116/59 POM_5V_CPU 584/654 | [Container1: 2025-03-16 14:39:35 Container1 PerfStat: 33.035899144          3 076 706      cache-misses              #    5,568 % of all cache refs] [Container2: 2025-03-16 14:39:36 Container2 PerfStat: 34.019139057            630 428      cache-misses              #    1,146 % of all cache refs] 
2025-03-16 14:39:38 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	25.28%	56.82MiB / 128MiB	6.92MB / 2.4MB	30.6MB / 0B	25] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:39 TegraStats: RAM 2042/3964MB (lfb 95x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@614,17%@614,14%@614,10%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1684/1992 POM_5V_GPU 39/57 POM_5V_CPU 430/638 | [Container1: 2025-03-16 14:39:39 Container1 PerfStat: 37.043247385          1 383 419      cache-misses              #    2,511 % of all cache refs] [Container2: 2025-03-16 14:39:39 Container2 PerfStat: 37.023213538      <not counted>      cache-misses] 
2025-03-16 14:39:41 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:41 TegraStats: RAM 2004/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,11%@204,7%@204,7%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@28.25C POM_5V_IN 1414/1969 POM_5V_GPU 39/56 POM_5V_CPU 353/625 | [Container1: 2025-03-16 14:39:41 Container1 PerfStat: 39.047709687      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:41 Container2 PerfStat: 39.026743387      <not counted>      cache-misses] 
2025-03-16 14:39:43 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:43 TegraStats: RAM 2008/3964MB (lfb 93x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,11%@204,8%@204,12%@307] EMC_FREQ 10%@204 GR3D_FREQ 88%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1645/1948 POM_5V_GPU 156/58 POM_5V_CPU 313/611 | [Container1: 2025-03-16 14:39:43 Container1 PerfStat: 41.053641266      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:43 Container2 PerfStat: 41.032993927      <not counted>      cache-misses] 
