Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:42:44 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	25.56%	16.99MiB / 128MiB	1.8kB / 0B	17.9MB / 0B	10] [Container2: 9ac75a13ea30	25.08%	22.18MiB / 128MiB	2.16kB / 0B	21.4MB / 0B	10]  | 2025-03-16 14:42:46 TegraStats: RAM 2046/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@307,23%@307,16%@307,14%@307] EMC_FREQ 24%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27C AO@33.5C thermal@27.75C POM_5V_IN 1569/2078 POM_5V_GPU 39/70 POM_5V_CPU 430/801 | [Container1: 2025-03-16 14:42:45 Container1 PerfStat: 1.000443278          2 077 842      cache-misses              #    3,054 % of all cache refs] [Container2: 2025-03-16 14:42:47 Container2 PerfStat: 3.001382073          1 559 887      cache-misses              #    2,561 % of all cache refs] 
2025-03-16 14:42:48 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	24.64%	22.6MiB / 128MiB	2.21kB / 0B	21.8MB / 0B	10] [Container2: 9ac75a13ea30	24.79%	29.11MiB / 128MiB	2.36kB / 0B	25.8MB / 0B	10]  | 2025-03-16 14:42:51 TegraStats: RAM 2060/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@825,24%@825,23%@403,20%@403] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 2143/2088 POM_5V_GPU 38/67 POM_5V_CPU 623/752 | [Container1: 2025-03-16 14:42:50 Container1 PerfStat: 6.003574305          1 612 563      cache-misses              #    2,669 % of all cache refs] [Container2: 2025-03-16 14:42:52 Container2 PerfStat: 8.003638564          2 305 094      cache-misses              #    3,632 % of all cache refs] 
2025-03-16 14:42:53 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	25.19%	30.45MiB / 128MiB	2.21kB / 0B	37MB / 0B	10] [Container2: 9ac75a13ea30	25.11%	33.86MiB / 128MiB	2.36kB / 0B	25.8MB / 0B	10]  | 2025-03-16 14:42:56 TegraStats: RAM 2070/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,19%@307,17%@307,16%@307] EMC_FREQ 15%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1684/2032 POM_5V_GPU 117/66 POM_5V_CPU 352/701 | [Container1: 2025-03-16 14:42:54 Container1 PerfStat: 10.007406644          2 021 782      cache-misses              #    3,229 % of all cache refs] [Container2: 2025-03-16 14:42:56 Container2 PerfStat: 12.005267819          1 685 570      cache-misses              #    2,745 % of all cache refs] 
2025-03-16 14:42:58 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	26.97%	35.71MiB / 128MiB	2.21kB / 0B	43.9MB / 0B	10] [Container2: 9ac75a13ea30	3.86%	36.25MiB / 128MiB	2.41kB / 0B	26MB / 0B	10]  | 2025-03-16 14:43:01 TegraStats: RAM 2075/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@307,10%@307,9%@307,12%@307] EMC_FREQ 14%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@28C PMIC@50C GPU@28C AO@33C thermal@27.5C POM_5V_IN 1141/1931 POM_5V_GPU 39/63 POM_5V_CPU 236/647 | [Container1: 2025-03-16 14:42:59 Container1 PerfStat: 15.012156012          1 721 325      cache-misses              #    2,841 % of all cache refs] [Container2: 2025-03-16 14:43:01 Container2 PerfStat: 17.008488013            313 322      cache-misses              #    0,553 % of all cache refs] 
2025-03-16 14:43:02 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	25.00%	42.32MiB / 128MiB	4.08MB / 16.8kB	44.2MB / 0B	16] [Container2: 9ac75a13ea30	24.10%	42.89MiB / 128MiB	4.08MB / 18.5kB	26.1MB / 0B	16]  | 2025-03-16 14:43:06 TegraStats: RAM 2091/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@1479,21%@1479,24%@1479,20%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 1952/1941 POM_5V_GPU 117/64 POM_5V_CPU 585/642 | [Container1: 2025-03-16 14:43:04 Container1 PerfStat: 20.018250699          2 381 508      cache-misses              #    4,144 % of all cache refs] [Container2: 2025-03-16 14:43:06 Container2 PerfStat: 22.011311643          2 244 282      cache-misses              #    4,066 % of all cache refs] 
2025-03-16 14:43:07 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	25.55%	55.08MiB / 128MiB	5.15MB / 24.7kB	52MB / 0B	28] [Container2: 9ac75a13ea30	25.72%	52.49MiB / 128MiB	5.67MB / 32.9kB	26.2MB / 0B	23]  | 2025-03-16 14:43:10 TegraStats: RAM 2100/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@518,19%@518,15%@518,21%@518] EMC_FREQ 2%@1600 GR3D_FREQ 97%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 2221/1953 POM_5V_GPU 155/63 POM_5V_CPU 584/641 | [Container1: 2025-03-16 14:43:08 Container1 PerfStat: 24.022386685          1 654 488      cache-misses              #    2,897 % of all cache refs] [Container2: 2025-03-16 14:43:10 Container2 PerfStat: 26.013723454          1 879 051      cache-misses              #    3,302 % of all cache refs] 
2025-03-16 14:43:11 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	24.34%	58.26MiB / 128MiB	8.95MB / 3.41MB	52.2MB / 0B	28] [Container2: 9ac75a13ea30	24.78%	54.07MiB / 128MiB	7.35MB / 1.81MB	26.2MB / 0B	23]  | 2025-03-16 14:43:15 TegraStats: RAM 2107/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@1479,21%@1479,23%@1479,23%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@29C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 2787/1994 POM_5V_GPU 38/64 POM_5V_CPU 1350/678 | [Container1: 2025-03-16 14:43:13 Container1 PerfStat: 29.026666312          3 119 217      cache-misses              #    5,021 % of all cache refs] [Container2: 2025-03-16 14:43:15 Container2 PerfStat: 31.017704121          2 654 591      cache-misses              #    4,440 % of all cache refs] 
2025-03-16 14:43:16 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	25.74%	61.37MiB / 128MiB	14.8MB / 9.21MB	52.2MB / 0B	28] [Container2: 9ac75a13ea30	25.67%	56.35MiB / 128MiB	12.2MB / 6.1MB	26.2MB / 0B	23]  | 2025-03-16 14:43:19 TegraStats: RAM 2057/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@518,16%@518,11%@518,16%@518] EMC_FREQ 2%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28C POM_5V_IN 1876/2025 POM_5V_GPU 0/63 POM_5V_CPU 547/688 | [Container1: 2025-03-16 14:43:17 Container1 PerfStat: 33.031906209          2 711 150      cache-misses              #    4,216 % of all cache refs] [Container2: 2025-03-16 14:43:19 Container2 PerfStat: 35.020459944          2 345 010      cache-misses              #    3,833 % of all cache refs] 
2025-03-16 14:43:21 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	24.97%	58.18MiB / 128MiB	13.9MB / 7.63MB	26.2MB / 0B	23]  | 2025-03-16 14:43:22 TegraStats: RAM 2061/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@1479,19%@1479,20%@1479,17%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 2065/2015 POM_5V_GPU 78/63 POM_5V_CPU 624/678 | [Container1: 2025-03-16 14:43:21 Container1 PerfStat: 37.036200998      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:23 Container2 PerfStat: 39.027571517          1 929 828      cache-misses              #    3,217 % of all cache refs] 
2025-03-16 14:43:24 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	25.34%	58.39MiB / 128MiB	15MB / 9.14MB	26.2MB / 0B	23]  | 2025-03-16 14:43:26 TegraStats: RAM 2061/3964MB (lfb 92x4MB) SWAP 44/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,18%@204,16%@204,12%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28.5C AO@33C thermal@28C POM_5V_IN 1296/1984 POM_5V_GPU 0/61 POM_5V_CPU 314/665 | [Container1: 2025-03-16 14:43:24 Container1 PerfStat: 40.040499490      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:26 Container2 PerfStat: 42.031413809          1 588 488      cache-misses              #    2,729 % of all cache refs] 
2025-03-16 14:43:27 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:28 TegraStats: RAM 1998/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@825,20%@825,24%@825,31%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28.25C POM_5V_IN 1257/1961 POM_5V_GPU 39/60 POM_5V_CPU 353/656 | [Container1: 2025-03-16 14:43:27 Container1 PerfStat: 43.046961118      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:28 Container2 PerfStat: 44.034180269            935 424      cache-misses              #    1,642 % of all cache refs] 
