Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:45:41 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	24.96%	17.97MiB / 128MiB	1.8kB / 138B	3.75MB / 0B	10] [Container2: 9979d54f68e5	25.57%	23.91MiB / 128MiB	2.49kB / 0B	39MB / 0B	10]  | 2025-03-16 14:45:44 TegraStats: RAM 2045/3964MB (lfb 92x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@518,18%@518,18%@518,22%@518] EMC_FREQ 20%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 2065/2085 POM_5V_GPU 39/66 POM_5V_CPU 468/712 | [Container1: 2025-03-16 14:45:42 Container1 PerfStat: 1.001409532          1 733 914      cache-misses              #    2,985 % of all cache refs] [Container2: 2025-03-16 14:45:44 Container2 PerfStat: 3.004121877          1 642 221      cache-misses              #    2,765 % of all cache refs] 
2025-03-16 14:45:45 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	27.29%	25.54MiB / 128MiB	2.21kB / 138B	9.92MB / 0B	10] [Container2: 9979d54f68e5	25.14%	29.36MiB / 128MiB	2.49kB / 0B	42.5MB / 0B	10]  | 2025-03-16 14:45:49 TegraStats: RAM 2057/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@1479,22%@1479,20%@1479,23%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 2182/2132 POM_5V_GPU 77/62 POM_5V_CPU 779/741 | [Container1: 2025-03-16 14:45:47 Container1 PerfStat: 6.008136931          1 745 171      cache-misses              #    2,793 % of all cache refs] [Container2: 2025-03-16 14:45:49 Container2 PerfStat: 8.008641557          1 633 885      cache-misses              #    2,579 % of all cache refs] 
2025-03-16 14:45:50 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	24.69%	32.18MiB / 128MiB	2.21kB / 138B	21.5MB / 0B	10] [Container2: 9979d54f68e5	25.34%	35.11MiB / 128MiB	2.49kB / 0B	42.5MB / 0B	10]  | 2025-03-16 14:45:53 TegraStats: RAM 2067/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,16%@307,17%@307,16%@307] EMC_FREQ 15%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1414/2092 POM_5V_GPU 39/62 POM_5V_CPU 275/705 | [Container1: 2025-03-16 14:45:51 Container1 PerfStat: 10.013980998          2 079 444      cache-misses              #    3,248 % of all cache refs] [Container2: 2025-03-16 14:45:53 Container2 PerfStat: 12.014201299          1 880 768      cache-misses              #    3,090 % of all cache refs] 
2025-03-16 14:45:55 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	6.07%	36.27MiB / 128MiB	2.21kB / 138B	28.4MB / 0B	10] [Container2: 9979d54f68e5	14.31%	39.03MiB / 128MiB	4.08MB / 19.6kB	42.6MB / 0B	16]  | 2025-03-16 14:45:58 TegraStats: RAM 2075/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@614,21%@614,21%@614,24%@614] EMC_FREQ 2%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 2217/2050 POM_5V_GPU 155/65 POM_5V_CPU 662/661 | [Container1: 2025-03-16 14:45:56 Container1 PerfStat: 15.021148243            270 264      cache-misses              #    0,455 % of all cache refs] [Container2: 2025-03-16 14:45:58 Container2 PerfStat: 17.024421267          1 836 535      cache-misses              #    3,328 % of all cache refs] 
2025-03-16 14:45:59 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	25.19%	42.17MiB / 128MiB	4.08MB / 20.7kB	28.5MB / 0B	16] [Container2: 9979d54f68e5	26.96%	49.12MiB / 128MiB	4.08MB / 19.6kB	42.7MB / 0B	16]  | 2025-03-16 14:46:02 TegraStats: RAM 2089/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@1479,27%@1479,17%@1479,29%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 2182/2021 POM_5V_GPU 77/64 POM_5V_CPU 779/654 | [Container1: 2025-03-16 14:46:01 Container1 PerfStat: 20.028541686        139 273 522      instructions              #    0,65  insn per cycle] [Container2: 2025-03-16 14:46:03 Container2 PerfStat: 22.029224021         41 742 031      cache-references] 
2025-03-16 14:46:04 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	25.44%	53.89MiB / 128MiB	4.51MB / 26.1kB	36.3MB / 0B	24] [Container2: 9979d54f68e5	28.81%	54.95MiB / 128MiB	4.63MB / 63.3kB	42.9MB / 0B	28]  | 2025-03-16 14:46:07 TegraStats: RAM 2099/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@614,23%@614,18%@614,19%@614] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 2104/2055 POM_5V_GPU 38/60 POM_5V_CPU 546/668 | [Container1: 2025-03-16 14:46:05 Container1 PerfStat: 24.033381790          1 968 343      cache-misses              #    3,535 % of all cache refs] [Container2: 2025-03-16 14:46:07 Container2 PerfStat: 26.031130829          2 560 291      cache-misses              #    4,590 % of all cache refs] 
2025-03-16 14:46:09 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	24.54%	56.61MiB / 128MiB	8.95MB / 4.17MB	36.5MB / 0B	24] [Container2: 9979d54f68e5	25.25%	56.07MiB / 128MiB	6.29MB / 1.72MB	42.9MB / 0B	28]  | 2025-03-16 14:46:12 TegraStats: RAM 2055/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@307,17%@307,16%@307,9%@307] EMC_FREQ 16%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1490/2034 POM_5V_GPU 39/59 POM_5V_CPU 313/641 | [Container1: 2025-03-16 14:46:10 Container1 PerfStat: 29.036496567          3 070 211      cache-misses              #    5,136 % of all cache refs] [Container2: 2025-03-16 14:46:12 Container2 PerfStat: 31.034626650          1 683 922      cache-misses              #    2,877 % of all cache refs] 
2025-03-16 14:46:13 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	24.61%	56.48MiB / 128MiB	6.85MB / 2.31MB	42.9MB / 0B	28]  | 2025-03-16 14:46:15 TegraStats: RAM 2056/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1479,9%@1479,20%@1479,18%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 2221/2008 POM_5V_GPU 155/60 POM_5V_CPU 739/625 | [Container1: 2025-03-16 14:46:13 Container1 PerfStat: 32.038033067      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:15 Container2 PerfStat: 34.036329713          1 726 105      cache-misses              #    3,013 % of all cache refs] 
2025-03-16 14:46:16 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	25.30%	57.02MiB / 128MiB	8.48MB / 2.95MB	42.9MB / 0B	28]  | 2025-03-16 14:46:18 TegraStats: RAM 2055/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@307,22%@307,15%@307,22%@307] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1490/1979 POM_5V_GPU 39/61 POM_5V_CPU 313/612 | [Container1: 2025-03-16 14:46:16 Container1 PerfStat: 35.039264670      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:18 Container2 PerfStat: 37.037613660          2 284 636      cache-misses              #    4,069 % of all cache refs] 
2025-03-16 14:46:20 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	24.85%	57.07MiB / 128MiB	9.07MB / 4.5MB	42.9MB / 0B	28]  | 2025-03-16 14:46:21 TegraStats: RAM 2056/3964MB (lfb 92x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@307,16%@307,17%@307,9%@307] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1569/1966 POM_5V_GPU 78/60 POM_5V_CPU 313/600 | [Container1: 2025-03-16 14:46:20 Container1 PerfStat: 39.041040332      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:21 Container2 PerfStat: 40.039559745          1 493 566      cache-misses              #    2,721 % of all cache refs] 
2025-03-16 14:46:23 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:24 TegraStats: RAM 2003/3964MB (lfb 95x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@1479,14%@1479,22%@1479,28%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@29C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 2486/1953 POM_5V_GPU 38/60 POM_5V_CPU 969/597 | [Container1: 2025-03-16 14:46:23 Container1 PerfStat: 42.043627514      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:24 Container2 PerfStat: 43.043006307          1 492 360      cache-misses              #    2,752 % of all cache refs] 
