Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:55:38 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	24.95%	16.67MiB / 128MiB	1.8kB / 0B	242kB / 0B	10] [Container2: aa33e018c7b5	25.03%	23.23MiB / 128MiB	2.36kB / 0B	42.2MB / 0B	10]  | 2025-03-16 14:55:41 TegraStats: RAM 2061/3964MB (lfb 92x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@1479,21%@1479,16%@1479,17%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 27%@153 APE 25 PLL@27C CPU@29C PMIC@50C GPU@28C AO@34C thermal@28.5C POM_5V_IN 2256/1917 POM_5V_GPU 155/59 POM_5V_CPU 622/618 | [Container1: 2025-03-16 14:55:39 Container1 PerfStat: 1.000603799          1 859 365      cache-misses              #    2,967 % of all cache refs] [Container2: 2025-03-16 14:55:41 Container2 PerfStat: 3.002926768          1 710 658      cache-misses              #    2,990 % of all cache refs] 
2025-03-16 14:55:43 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.19%	23.36MiB / 128MiB	2.21kB / 0B	422kB / 0B	10] [Container2: aa33e018c7b5	26.60%	30.85MiB / 128MiB	2.36kB / 0B	51.9MB / 0B	10]  | 2025-03-16 14:55:46 TegraStats: RAM 2073/3964MB (lfb 92x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@307,22%@307,20%@307,18%@307] EMC_FREQ 16%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1723/1933 POM_5V_GPU 39/62 POM_5V_CPU 352/576 | [Container1: 2025-03-16 14:55:44 Container1 PerfStat: 6.006802550          1 617 193      cache-misses              #    2,594 % of all cache refs] [Container2: 2025-03-16 14:55:46 Container2 PerfStat: 8.007459885          1 414 403      cache-misses              #    2,338 % of all cache refs] 
2025-03-16 14:55:47 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	24.97%	28.1MiB / 128MiB	2.21kB / 0B	1.95MB / 0B	10] [Container2: aa33e018c7b5	25.08%	36.41MiB / 128MiB	2.36kB / 0B	61.6MB / 0B	10]  | 2025-03-16 14:55:50 TegraStats: RAM 2080/3964MB (lfb 92x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@614,15%@614,15%@614,15%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1952/1940 POM_5V_GPU 39/61 POM_5V_CPU 546/574 | [Container1: 2025-03-16 14:55:48 Container1 PerfStat: 10.011906301          2 015 084      cache-misses              #    3,288 % of all cache refs] [Container2: 2025-03-16 14:55:50 Container2 PerfStat: 12.010538626          1 652 810      cache-misses              #    2,759 % of all cache refs] 
2025-03-16 14:55:52 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.87%	32.22MiB / 128MiB	2.21kB / 0B	8.9MB / 0B	10] [Container2: aa33e018c7b5	5.91%	39MiB / 128MiB	2.41kB / 0B	61.6MB / 0B	10]  | 2025-03-16 14:55:55 TegraStats: RAM 2086/3964MB (lfb 92x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,12%@204,14%@204,14%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1414/1930 POM_5V_GPU 78/60 POM_5V_CPU 275/567 | [Container1: 2025-03-16 14:55:53 Container1 PerfStat: 15.017810258          1 867 412      cache-misses              #    3,037 % of all cache refs] [Container2: 2025-03-16 14:55:55 Container2 PerfStat: 17.016860762            318 931      cache-misses              #    0,582 % of all cache refs] 
2025-03-16 14:55:57 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	24.42%	36.9MiB / 128MiB	4.08MB / 19.8kB	9.08MB / 0B	16] [Container2: aa33e018c7b5	25.02%	47.84MiB / 128MiB	4.09MB / 23.4kB	61.7MB / 0B	16]  | 2025-03-16 14:56:00 TegraStats: RAM 2103/3964MB (lfb 92x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [37%@614,14%@614,15%@614,21%@614] EMC_FREQ 2%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.5C POM_5V_IN 2030/1923 POM_5V_GPU 39/57 POM_5V_CPU 546/563 | [Container1: 2025-03-16 14:55:57 Container1 PerfStat: 19.021888847          2 259 644      cache-misses              #    4,111 % of all cache refs] [Container2: 2025-03-16 14:56:00 Container2 PerfStat: 22.022713157        283 610 118      cycles] 
2025-03-16 14:56:01 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.53%	50.17MiB / 128MiB	5.13MB / 27.1kB	16.6MB / 0B	26] [Container2: aa33e018c7b5	25.18%	55.93MiB / 128MiB	5.68MB / 38.3kB	62MB / 0B	26]  | 2025-03-16 14:56:04 TegraStats: RAM 2111/3964MB (lfb 92x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@403,17%@403,18%@403,17%@403] EMC_FREQ 2%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.75C POM_5V_IN 1759/1916 POM_5V_GPU 39/56 POM_5V_CPU 430/553 | [Container1: 2025-03-16 14:56:02 Container1 PerfStat: 24.024991385          1 988 294      cache-misses              #    3,548 % of all cache refs] [Container2: 2025-03-16 14:56:04 Container2 PerfStat: 26.026713413          2 002 394      cache-misses              #    3,526 % of all cache refs] 
2025-03-16 14:56:06 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.61%	51.74MiB / 128MiB	5.71MB / 126kB	16.6MB / 0B	26] [Container2: aa33e018c7b5	24.79%	58.43MiB / 128MiB	11.8MB / 6.27MB	62MB / 0B	26]  | 2025-03-16 14:56:09 TegraStats: RAM 2118/3964MB (lfb 92x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@1132,17%@1132,19%@1132,24%@1132] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.75C POM_5V_IN 2637/2001 POM_5V_GPU 38/57 POM_5V_CPU 969/612 | [Container1: 2025-03-16 14:56:07 Container1 PerfStat: 29.031083364          3 598 361      cache-misses              #    6,244 % of all cache refs] [Container2: 2025-03-16 14:56:09 Container2 PerfStat: 31.030815695          2 932 309      cache-misses              #    4,857 % of all cache refs] 
2025-03-16 14:56:11 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	24.52%	52.93MiB / 128MiB	7.41MB / 2.08MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	25.25%	61.07MiB / 128MiB	20.2MB / 13.3MB	62MB / 0B	26]  | 2025-03-16 14:56:13 TegraStats: RAM 2124/3964MB (lfb 92x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@825,20%@825,20%@825,21%@825] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.5C POM_5V_IN 2256/2026 POM_5V_GPU 38/57 POM_5V_CPU 662/617 | [Container1: 2025-03-16 14:56:11 Container1 PerfStat: 33.034331950          2 329 870      cache-misses              #    3,859 % of all cache refs] [Container2: 2025-03-16 14:56:13 Container2 PerfStat: 35.033522663          2 836 047      cache-misses              #    4,492 % of all cache refs] 
2025-03-16 14:56:15 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.70%	59.76MiB / 128MiB	10.7MB / 5.25MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:16 TegraStats: RAM 2072/3964MB (lfb 94x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,14%@307,14%@307,13%@307] EMC_FREQ 16%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1488/2039 POM_5V_GPU 39/57 POM_5V_CPU 430/628 | [Container1: 2025-03-16 14:56:16 Container1 PerfStat: 38.038084594          1 850 097      cache-misses              #    2,959 % of all cache refs] [Container2: 2025-03-16 14:56:16 Container2 PerfStat: 38.035776198      <not counted>      cache-misses] 
2025-03-16 14:56:18 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.33%	59.9MiB / 128MiB	10.7MB / 6.08MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:20 TegraStats: RAM 2069/3964MB (lfb 94x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@403,14%@403,16%@403,15%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.5C POM_5V_IN 1759/2047 POM_5V_GPU 78/57 POM_5V_CPU 391/635 | [Container1: 2025-03-16 14:56:19 Container1 PerfStat: 41.043146789          1 732 177      cache-misses              #    2,804 % of all cache refs] [Container2: 2025-03-16 14:56:20 Container2 PerfStat: 42.039830621      <not counted>      cache-misses] 
2025-03-16 14:56:21 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.08%	59.97MiB / 128MiB	12.4MB / 7.1MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:24 TegraStats: RAM 2067/3964MB (lfb 95x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,15%@204,12%@204,17%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1296/2013 POM_5V_GPU 39/56 POM_5V_CPU 236/614 | [Container1: 2025-03-16 14:56:22 Container1 PerfStat: 44.048661954          1 384 906      cache-misses              #    2,295 % of all cache refs] [Container2: 2025-03-16 14:56:23 Container2 PerfStat: 45.043649268      <not counted>      cache-misses] 
