Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:58:29 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	25.77%	15.69MiB / 128MiB	578B / 0B	7.57MB / 0B	10] [Container2: f00d93991b7e	24.96%	23.13MiB / 128MiB	2.16kB / 0B	31.6MB / 0B	10]  | 2025-03-16 14:58:32 TegraStats: RAM 2054/3964MB (lfb 92x4MB) SWAP 50/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@1036,19%@1036,16%@1036,13%@1036] EMC_FREQ 3%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1837/1634 POM_5V_GPU 78/65 POM_5V_CPU 469/416 | [Container1: 2025-03-16 14:58:30 Container1 PerfStat: 1.001065000          2 453 450      cache-misses              #    2,850 % of all cache refs] [Container2: 2025-03-16 14:58:32 Container2 PerfStat: 3.002465203          1 824 932      cache-misses              #    2,659 % of all cache refs] 
2025-03-16 14:58:34 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	24.94%	21.97MiB / 128MiB	2.21kB / 0B	11MB / 0B	10] [Container2: f00d93991b7e	25.30%	29.91MiB / 128MiB	2.36kB / 0B	33.1MB / 0B	10]  | 2025-03-16 14:58:37 TegraStats: RAM 2069/3964MB (lfb 92x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@1479,20%@1479,19%@1479,17%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@29C PMIC@50C GPU@28C AO@34C thermal@28.25C POM_5V_IN 2182/1705 POM_5V_GPU 38/60 POM_5V_CPU 739/439 | [Container1: 2025-03-16 14:58:35 Container1 PerfStat: 6.007832971          1 585 716      cache-misses              #    2,510 % of all cache refs] [Container2: 2025-03-16 14:58:37 Container2 PerfStat: 8.011018756          1 748 577      cache-misses              #    2,690 % of all cache refs] 
2025-03-16 14:58:39 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	24.78%	29.43MiB / 128MiB	2.21kB / 0B	30.1MB / 0B	10] [Container2: f00d93991b7e	25.10%	34.55MiB / 128MiB	2.36kB / 0B	33.1MB / 0B	10]  | 2025-03-16 14:58:41 TegraStats: RAM 2077/3964MB (lfb 92x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@1479,19%@1479,18%@1479,17%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 14%@76 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@34C thermal@28C POM_5V_IN 2143/1788 POM_5V_GPU 155/70 POM_5V_CPU 623/483 | [Container1: 2025-03-16 14:58:39 Container1 PerfStat: 10.013362349          2 216 019      cache-misses              #    3,371 % of all cache refs] [Container2: 2025-03-16 14:58:41 Container2 PerfStat: 12.024450568          1 808 816      cache-misses              #    2,854 % of all cache refs] 
2025-03-16 14:58:43 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	25.31%	36.04MiB / 128MiB	2.21kB / 0B	37MB / 0B	10] [Container2: f00d93991b7e	27.79%	37.88MiB / 128MiB	2.41kB / 0B	33.1MB / 0B	10]  | 2025-03-16 14:58:46 TegraStats: RAM 2084/3964MB (lfb 92x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@518,16%@518,13%@518,15%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@29C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1837/1849 POM_5V_GPU 39/68 POM_5V_CPU 430/499 | [Container1: 2025-03-16 14:58:44 Container1 PerfStat: 15.021876580          2 078 088      cache-misses              #    3,227 % of all cache refs] [Container2: 2025-03-16 14:58:46 Container2 PerfStat: 17.026208932            862 966      cache-misses              #    1,444 % of all cache refs] 
2025-03-16 14:58:48 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	26.97%	40.25MiB / 128MiB	4.09MB / 17.4kB	37.2MB / 0B	16] [Container2: f00d93991b7e	25.56%	42.81MiB / 128MiB	4.08MB / 21.3kB	33.1MB / 0B	16]  | 2025-03-16 14:58:51 TegraStats: RAM 2097/3964MB (lfb 92x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1479,17%@1479,18%@1479,18%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27.5C CPU@29.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 2447/1868 POM_5V_GPU 77/69 POM_5V_CPU 854/517 | [Container1: 2025-03-16 14:58:49 Container1 PerfStat: 20.024443229          1 920 507      cache-misses              #    3,343 % of all cache refs] [Container2: 2025-03-16 14:58:51 Container2 PerfStat: 22.027909275          1 392 088      cache-misses              #    2,498 % of all cache refs] 
2025-03-16 14:58:52 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	26.64%	49.33MiB / 128MiB	4.09MB / 17.4kB	37.3MB / 0B	16] [Container2: f00d93991b7e	25.39%	54.37MiB / 128MiB	4.35MB / 23.5kB	33.6MB / 0B	24]  | 2025-03-16 14:58:55 TegraStats: RAM 2109/3964MB (lfb 92x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@614,18%@614,15%@614,14%@614] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@29C POM_5V_IN 1916/1914 POM_5V_GPU 39/66 POM_5V_CPU 508/544 | [Container1: 2025-03-16 14:58:53 Container1 PerfStat: 24.026294673          2 052 335      cache-misses              #    3,647 % of all cache refs] [Container2: 2025-03-16 14:58:55 Container2 PerfStat: 26.029118372          1 676 773      cache-misses              #    3,024 % of all cache refs] 
2025-03-16 14:58:57 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	25.07%	55.34MiB / 128MiB	5.19MB / 756kB	45.4MB / 0B	24] [Container2: f00d93991b7e	25.55%	56.15MiB / 128MiB	5.72MB / 1.1MB	33.6MB / 0B	30]  | 2025-03-16 14:59:00 TegraStats: RAM 2111/3964MB (lfb 92x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@1479,16%@1479,21%@1479,20%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 2256/1928 POM_5V_GPU 38/65 POM_5V_CPU 740/551 | [Container1: 2025-03-16 14:58:58 Container1 PerfStat: 29.028505383          2 725 410      cache-misses              #    4,732 % of all cache refs] [Container2: 2025-03-16 14:59:00 Container2 PerfStat: 31.030794548          2 814 499      cache-misses              #    4,848 % of all cache refs] 
2025-03-16 14:59:02 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	24.31%	57.38MiB / 128MiB	9.75MB / 4.9MB	45.4MB / 0B	24] [Container2: f00d93991b7e	24.94%	59.29MiB / 128MiB	9.5MB / 3.75MB	33.6MB / 0B	30]  | 2025-03-16 14:59:04 TegraStats: RAM 2081/3964MB (lfb 92x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [38%@1479,34%@1479,32%@1479,32%@1479] EMC_FREQ 2%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27.5C CPU@30C PMIC@50C GPU@29C AO@34.5C thermal@28.75C POM_5V_IN 3307/1976 POM_5V_GPU 154/65 POM_5V_CPU 1577/577 | [Container1: 2025-03-16 14:59:02 Container1 PerfStat: 33.030132659          3 034 546      cache-misses              #    5,104 % of all cache refs] [Container2: 2025-03-16 14:59:04 Container2 PerfStat: 35.032203698          2 844 439      cache-misses              #    4,716 % of all cache refs] 
2025-03-16 14:59:06 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	25.25%	59.45MiB / 128MiB	10.6MB / 5.84MB	33.6MB / 0B	30]  | 2025-03-16 14:59:08 TegraStats: RAM 2071/3964MB (lfb 93x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,13%@204,17%@204,10%@204] EMC_FREQ 15%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@34C thermal@28.5C POM_5V_IN 1375/1955 POM_5V_GPU 39/66 POM_5V_CPU 274/560 | [Container1: 2025-03-16 14:59:06 Container1 PerfStat: 37.031567277      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:08 Container2 PerfStat: 39.034121027          1 930 324      cache-misses              #    3,250 % of all cache refs] 
2025-03-16 14:59:09 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:10 TegraStats: RAM 2011/3964MB (lfb 97x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@307,30%@307,19%@307,19%@307] EMC_FREQ 16%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@34C thermal@28.75C POM_5V_IN 1684/1938 POM_5V_GPU 39/65 POM_5V_CPU 352/551 | [Container1: 2025-03-16 14:59:09 Container1 PerfStat: 40.032547733      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:10 Container2 PerfStat: 41.035338209      <not counted>      cache-misses] 
2025-03-16 14:59:12 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:13 TegraStats: RAM 2014/3964MB (lfb 96x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,8%@204,10%@204,9%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.5C POM_5V_IN 1220/1905 POM_5V_GPU 78/66 POM_5V_CPU 157/533 | [Container1: 2025-03-16 14:59:11 Container1 PerfStat: 42.034268250      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:12 Container2 PerfStat: 43.038652484      <not counted>      cache-misses] 
