2025-03-16 02:27:45 | DockerStats: 4855b4006e87	25.16%	19.52MiB / 128MiB	1.95kB / 0B	38.9MB / 0B	10 | 2025-03-16 02:27:46 TegraStats: RAM 2041/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [38%@518,20%@518,13%@518,11%@518] EMC_FREQ 3%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1723/1723 POM_5V_GPU 39/39 POM_5V_CPU 352/352 | 2025-03-16 02:27:46 PerfStat: 1.004713662          1 916 788      cache-misses              #    3,049 % of all cache refs
2025-03-16 02:27:48 | DockerStats: 4855b4006e87	26.59%	24.54MiB / 128MiB	2.16kB / 0B	39.4MB / 0B	10 | 2025-03-16 02:27:49 TegraStats: RAM 2049/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,13%@204,10%@204,14%@204] EMC_FREQ 14%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1180/1509 POM_5V_GPU 39/78 POM_5V_CPU 275/303 | 2025-03-16 02:27:49 PerfStat: 4.010751174          1 270 761      cache-misses              #    2,752 % of all cache refs
2025-03-16 02:27:50 | DockerStats: 4855b4006e87	25.19%	25.98MiB / 128MiB	2.36kB / 0B	42.5MB / 0B	10 | 2025-03-16 02:27:51 TegraStats: RAM 2051/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@921,8%@921,7%@921,16%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@27C POM_5V_IN 1645/1522 POM_5V_GPU 78/71 POM_5V_CPU 470/352 | 2025-03-16 02:27:51 PerfStat: 6.018248959          1 538 825      cache-misses              #    3,498 % of all cache refs
2025-03-16 02:27:53 | DockerStats: 4855b4006e87	25.71%	29.15MiB / 128MiB	2.36kB / 0B	51.8MB / 0B	10 | 2025-03-16 02:27:54 TegraStats: RAM 2053/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,7%@204,9%@204,13%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1414/1567 POM_5V_GPU 39/73 POM_5V_CPU 314/365 | 2025-03-16 02:27:54 PerfStat: 9.025791946          1 545 566      cache-misses              #    3,220 % of all cache refs
2025-03-16 02:27:56 | DockerStats: 4855b4006e87	26.03%	30.6MiB / 128MiB	2.36kB / 0B	52.4MB / 0B	10 | 2025-03-16 02:27:56 TegraStats: RAM 2055/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,17%@204,16%@204,12%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@27.25C POM_5V_IN 1259/1549 POM_5V_GPU 39/67 POM_5V_CPU 275/356 | 2025-03-16 02:27:56 PerfStat: 11.027518140          1 378 928      cache-misses              #    2,995 % of all cache refs
2025-03-16 02:27:58 | DockerStats: 4855b4006e87	25.58%	31.97MiB / 128MiB	2.36kB / 0B	62.9MB / 0B	10 | 2025-03-16 02:27:59 TegraStats: RAM 2057/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,9%@204,5%@204,15%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1605/1575 POM_5V_GPU 39/61 POM_5V_CPU 274/355 | 2025-03-16 02:27:59 PerfStat: 14.029500476          1 397 568      cache-misses              #    3,183 % of all cache refs
2025-03-16 02:28:01 | DockerStats: 4855b4006e87	25.41%	36.61MiB / 128MiB	2.36kB / 0B	63.6MB / 0B	10 | 2025-03-16 02:28:02 TegraStats: RAM 2063/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,20%@102,13%@102,13%@102] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1220/1557 POM_5V_GPU 39/68 POM_5V_CPU 235/345 | 2025-03-16 02:28:02 PerfStat: 17.031937710          1 333 998      cache-misses              #    2,957 % of all cache refs
2025-03-16 02:28:03 | DockerStats: 4855b4006e87	24.72%	38.59MiB / 128MiB	2.36kB / 0B	64.9MB / 0B	10 | 2025-03-16 02:28:05 TegraStats: RAM 2062/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@518,8%@518,10%@518,14%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1952/1613 POM_5V_GPU 117/67 POM_5V_CPU 391/366 | 2025-03-16 02:28:04 PerfStat: 19.033594060          1 380 913      cache-misses              #    3,023 % of all cache refs
2025-03-16 02:28:06 | DockerStats: 4855b4006e87	22.72%	39.77MiB / 128MiB	2.36kB / 0B	70.6MB / 0B	10 | 2025-03-16 02:28:07 TegraStats: RAM 2068/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,12%@204,14%@204,16%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1336/1600 POM_5V_GPU 78/66 POM_5V_CPU 196/354 | 2025-03-16 02:28:07 PerfStat: 22.040389648            503 081      cache-misses              #    1,133 % of all cache refs
2025-03-16 02:28:09 | DockerStats: 4855b4006e87	8.95%	46.63MiB / 128MiB	4.2kB / 1.77kB	70.6MB / 0B	14 | 2025-03-16 02:28:10 TegraStats: RAM 2073/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@614,9%@614,10%@614,14%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1490/1554 POM_5V_GPU 39/63 POM_5V_CPU 274/337 | 2025-03-16 02:28:09 PerfStat: 24.045235649              8 188      cache-misses              #    0,020 % of all cache refs
2025-03-16 02:28:11 | DockerStats: 4855b4006e87	25.09%	48.61MiB / 128MiB	4.08MB / 20.6kB	70.7MB / 0B	16 | 2025-03-16 02:28:13 TegraStats: RAM 2074/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,16%@204,9%@204,10%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1259/1520 POM_5V_GPU 39/62 POM_5V_CPU 196/321 | 2025-03-16 02:28:12 PerfStat: 27.048720075          1 394 381      cache-misses              #    3,354 % of all cache refs
