2025-03-16 02:37:47 | DockerStats: cd32d74a79a2	24.92%	20.18MiB / 128MiB	1.21kB / 0B	39.4MB / 0B	10 | 2025-03-16 02:37:48 TegraStats: RAM 2006/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@204,19%@204,15%@204,14%@204] EMC_FREQ 22%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1569/1569 POM_5V_GPU 78/78 POM_5V_CPU 313/313 | 2025-03-16 02:37:48 PerfStat: 1.004620641          1 217 734      cache-misses              #    2,665 % of all cache refs
2025-03-16 02:37:49 | DockerStats: cd32d74a79a2	25.04%	24.79MiB / 128MiB	2.16kB / 0B	41.3MB / 0B	10 | 2025-03-16 02:37:51 TegraStats: RAM 2020/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@403,16%@403,12%@403,13%@403] EMC_FREQ 15%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@28C AO@32.5C thermal@27.75C POM_5V_IN 1684/1702 POM_5V_GPU 0/48 POM_5V_CPU 352/371 | 2025-03-16 02:37:51 PerfStat: 4.007624388          1 551 988      cache-misses              #    3,140 % of all cache refs
2025-03-16 02:37:52 | DockerStats: cd32d74a79a2	24.76%	27.05MiB / 128MiB	2.36kB / 0B	41.9MB / 0B	10 | 2025-03-16 02:37:53 TegraStats: RAM 2018/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@403,11%@403,18%@403,9%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1530/1658 POM_5V_GPU 39/45 POM_5V_CPU 313/345 | 2025-03-16 02:37:53 PerfStat: 6.008762090          1 025 782      cache-misses              #    2,391 % of all cache refs
2025-03-16 02:37:54 | DockerStats: cd32d74a79a2	25.51%	30.11MiB / 128MiB	2.36kB / 0B	51.5MB / 0B	10 | 2025-03-16 02:37:56 TegraStats: RAM 2022/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@1479,10%@1479,10%@1479,21%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27.5C POM_5V_IN 1952/1751 POM_5V_GPU 39/64 POM_5V_CPU 624/407 | 2025-03-16 02:37:56 PerfStat: 9.011046198          2 094 982      cache-misses              #    4,215 % of all cache refs
2025-03-16 02:37:57 | DockerStats: cd32d74a79a2	24.78%	33.43MiB / 128MiB	2.36kB / 0B	54.3MB / 0B	10 | 2025-03-16 02:37:58 TegraStats: RAM 2023/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@1479,17%@1479,11%@1479,13%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27C POM_5V_IN 1876/1805 POM_5V_GPU 0/63 POM_5V_CPU 586/457 | 2025-03-16 02:37:58 PerfStat: 11.014401306          1 237 091      cache-misses              #    2,596 % of all cache refs
2025-03-16 02:38:00 | DockerStats: cd32d74a79a2	25.12%	35.95MiB / 128MiB	2.36kB / 0B	65.5MB / 0B	10 | 2025-03-16 02:38:01 TegraStats: RAM 2029/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@825,14%@825,10%@825,17%@825] EMC_FREQ 1%@1600 GR3D_FREQ 25%@230 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 2447/1964 POM_5V_GPU 155/77 POM_5V_CPU 854/542 | 2025-03-16 02:38:01 PerfStat: 14.017774847          1 714 570      cache-misses              #    3,428 % of all cache refs
2025-03-16 02:38:02 | DockerStats: cd32d74a79a2	24.62%	40.16MiB / 128MiB	2.36kB / 0B	66.1MB / 0B	10 | 2025-03-16 02:38:04 TegraStats: RAM 2029/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@403,17%@403,9%@403,12%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@28C AO@33C thermal@27C POM_5V_IN 1605/1939 POM_5V_GPU 0/75 POM_5V_CPU 391/529 | 2025-03-16 02:38:04 PerfStat: 17.024291527          1 317 192      cache-misses              #    2,729 % of all cache refs
2025-03-16 02:38:05 | DockerStats: cd32d74a79a2	26.02%	40.95MiB / 128MiB	2.36kB / 0B	66.6MB / 0B	10 | 2025-03-16 02:38:06 TegraStats: RAM 2031/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@403,15%@518,15%@518,15%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1684/1912 POM_5V_GPU 39/71 POM_5V_CPU 430/516 | 2025-03-16 02:38:06 PerfStat: 19.030399253          1 091 439      cache-misses              #    2,368 % of all cache refs
2025-03-16 02:38:07 | DockerStats: cd32d74a79a2	26.12%	42.7MiB / 128MiB	2.36kB / 0B	72.3MB / 0B	10 | 2025-03-16 02:38:09 TegraStats: RAM 2032/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@1479,27%@1479,15%@1479,19%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27C AO@33C thermal@26.75C POM_5V_IN 2826/1943 POM_5V_GPU 154/74 POM_5V_CPU 1084/536 | 2025-03-16 02:38:09 PerfStat: 22.034208056          1 279 289      cache-misses              #    2,804 % of all cache refs
2025-03-16 02:38:10 | DockerStats: cd32d74a79a2	5.00%	43.98MiB / 128MiB	4.2kB / 1.77kB	72.6MB / 0B	15 | 2025-03-16 02:38:11 TegraStats: RAM 2033/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,14%@204,9%@204,10%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1257/1902 POM_5V_GPU 39/69 POM_5V_CPU 275/519 | 2025-03-16 02:38:11 PerfStat: 24.038174313            678 226      cache-misses              #    1,573 % of all cache refs
2025-03-16 02:38:13 | DockerStats: cd32d74a79a2	24.71%	44.86MiB / 128MiB	4.08MB / 17.6kB	72.6MB / 0B	16 | 2025-03-16 02:38:14 TegraStats: RAM 2034/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@710,8%@710,15%@710,16%@710] EMC_FREQ 9%@204 GR3D_FREQ 30%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@33C thermal@26.75C POM_5V_IN 1684/1873 POM_5V_GPU 156/70 POM_5V_CPU 351/502 | 2025-03-16 02:38:14 PerfStat: 27.041154726            788 174      cache-misses              #    1,895 % of all cache refs
