2025-03-16 02:39:58 | DockerStats: 20b09d247631	25.89%	17.37MiB / 128MiB	1.95kB / 0B	40.7MB / 0B	10 | 2025-03-16 02:40:00 TegraStats: RAM 1996/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,8%@102,13%@102,13%@102] EMC_FREQ 14%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27.5C AO@32.5C thermal@27C POM_5V_IN 1220/1220 POM_5V_GPU 0/0 POM_5V_CPU 196/196 | 2025-03-16 02:40:00 PerfStat: 1.001332136          1 427 120      cache-misses              #    3,088 % of all cache refs
2025-03-16 02:40:01 | DockerStats: 20b09d247631	25.64%	23.34MiB / 128MiB	2.16kB / 0B	41.3MB / 0B	10 | 2025-03-16 02:40:03 TegraStats: RAM 2004/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,16%@204,11%@204,15%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1257/1238 POM_5V_GPU 39/29 POM_5V_CPU 430/294 | 2025-03-16 02:40:03 PerfStat: 4.003449629          1 000 740      cache-misses              #    2,301 % of all cache refs
2025-03-16 02:40:04 | DockerStats: 20b09d247631	24.97%	25.02MiB / 128MiB	2.36kB / 0B	46.4MB / 0B	10 | 2025-03-16 02:40:05 TegraStats: RAM 2003/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@825,20%@1036,14%@1036,10%@1036] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1837/1482 POM_5V_GPU 39/51 POM_5V_CPU 585/384 | 2025-03-16 02:40:05 PerfStat: 6.005912337          1 290 131      cache-misses              #    2,999 % of all cache refs
2025-03-16 02:40:06 | DockerStats: 20b09d247631	24.56%	29.12MiB / 128MiB	2.36kB / 0B	51.8MB / 0B	10 | 2025-03-16 02:40:08 TegraStats: RAM 2007/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@1479,21%@1479,10%@1479,8%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 2030/1634 POM_5V_GPU 39/60 POM_5V_CPU 623/438 | 2025-03-16 02:40:08 PerfStat: 9.015865545          1 788 808      cache-misses              #    3,828 % of all cache refs
2025-03-16 02:40:09 | DockerStats: 20b09d247631	25.47%	30.11MiB / 128MiB	2.36kB / 0B	54.3MB / 0B	10 | 2025-03-16 02:40:10 TegraStats: RAM 2008/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@921,14%@921,11%@921,13%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 2030/1678 POM_5V_GPU 155/67 POM_5V_CPU 545/450 | 2025-03-16 02:40:10 PerfStat: 11.022472596            922 876      cache-misses              #    2,064 % of all cache refs
2025-03-16 02:40:12 | DockerStats: 20b09d247631	25.42%	30.76MiB / 128MiB	2.36kB / 0B	54.8MB / 0B	10 | 2025-03-16 02:40:13 TegraStats: RAM 2010/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@1224,13%@1224,8%@1224,8%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1759/1731 POM_5V_GPU 39/63 POM_5V_CPU 508/476 | 2025-03-16 02:40:13 PerfStat: 14.026631088          1 392 979      cache-misses              #    3,258 % of all cache refs
2025-03-16 02:40:14 | DockerStats: 20b09d247631	26.66%	35.87MiB / 128MiB	2.36kB / 0B	65.5MB / 0B	10 | 2025-03-16 02:40:15 TegraStats: RAM 2012/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@518,15%@204,13%@825,10%@825] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1530/1739 POM_5V_GPU 39/60 POM_5V_CPU 430/477 | 2025-03-16 02:40:16 PerfStat: 17.030328432          1 823 055      cache-misses              #    4,065 % of all cache refs
2025-03-16 02:40:17 | DockerStats: 20b09d247631	25.61%	37.45MiB / 128MiB	2.36kB / 0B	66.7MB / 0B	10 | 2025-03-16 02:40:18 TegraStats: RAM 2014/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@614,12%@614,13%@614,13%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1605/1720 POM_5V_GPU 78/61 POM_5V_CPU 430/490 | 2025-03-16 02:40:18 PerfStat: 19.033956250          1 303 982      cache-misses              #    2,915 % of all cache refs
2025-03-16 02:40:19 | DockerStats: 20b09d247631	21.78%	39.09MiB / 128MiB	2.36kB / 0B	72.5MB / 0B	10 | 2025-03-16 02:40:21 TegraStats: RAM 2017/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,12%@307,9%@307,11%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1296/1689 POM_5V_GPU 39/58 POM_5V_CPU 353/482 | 2025-03-16 02:40:21 PerfStat: 22.042139188            963 973      cache-misses              #    2,161 % of all cache refs
2025-03-16 02:40:22 | DockerStats: 20b09d247631	21.20%	40.45MiB / 128MiB	4.08MB / 22.9kB	72.6MB / 0B	16 | 2025-03-16 02:40:23 TegraStats: RAM 2017/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@1224,14%@1224,15%@1224,13%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 7%@153 APE 25 PLL@25.5C CPU@28C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 2030/1691 POM_5V_GPU 194/63 POM_5V_CPU 584/484 | 2025-03-16 02:40:23 PerfStat: 24.048562489          1 071 525      cache-misses              #    2,517 % of all cache refs
2025-03-16 02:40:25 | DockerStats: 20b09d247631	23.53%	44.46MiB / 128MiB	4.08MB / 22.9kB	73.4MB / 0B	16 | 2025-03-16 02:40:26 TegraStats: RAM 2021/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@710,23%@710,8%@710,7%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1798/1758 POM_5V_GPU 39/67 POM_5V_CPU 429/511 | 2025-03-16 02:40:26 PerfStat: 27.053852184          1 856 661      cache-misses              #    4,269 % of all cache refs
