2025-03-16 02:45:34 | DockerStats: 34fa6c934d4c	20.79%	13.65MiB / 128MiB	1.17kB / 0B	36.3MB / 0B	8 | 2025-03-16 02:45:35 TegraStats: RAM 1990/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@1036,17%@1036,15%@1036,16%@1036] EMC_FREQ 2%@1600 GR3D_FREQ 87%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 2486/2486 POM_5V_GPU 194/194 POM_5V_CPU 699/699 | 2025-03-16 02:45:35 PerfStat: 1.002730059          1 541 062      cache-misses              #    2,416 % of all cache refs
2025-03-16 02:45:36 | DockerStats: 34fa6c934d4c	25.84%	21.62MiB / 128MiB	2.16kB / 0B	41.3MB / 0B	10 | 2025-03-16 02:45:38 TegraStats: RAM 1998/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@1479,15%@1479,12%@1479,5%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1608/2009 POM_5V_GPU 39/116 POM_5V_CPU 391/506 | 2025-03-16 02:45:37 PerfStat: 3.005015215          1 533 669      cache-misses              #    2,717 % of all cache refs
2025-03-16 02:45:39 | DockerStats: 34fa6c934d4c	26.02%	25.64MiB / 128MiB	2.36kB / 0B	41.3MB / 0B	10 | 2025-03-16 02:45:40 TegraStats: RAM 2002/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@307,15%@307,14%@307,6%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1220/1810 POM_5V_GPU 39/90 POM_5V_CPU 392/468 | 2025-03-16 02:45:40 PerfStat: 6.008401516          1 128 765      cache-misses              #    2,510 % of all cache refs
2025-03-16 02:45:42 | DockerStats: 34fa6c934d4c	28.24%	28.01MiB / 128MiB	2.36kB / 0B	46.4MB / 0B	10 | 2025-03-16 02:45:43 TegraStats: RAM 2003/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@614,22%@614,9%@614,10%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1490/1750 POM_5V_GPU 117/90 POM_5V_CPU 391/464 | 2025-03-16 02:45:43 PerfStat: 9.011531930          1 020 475      cache-misses              #    2,400 % of all cache refs
2025-03-16 02:45:44 | DockerStats: 34fa6c934d4c	25.08%	31.04MiB / 128MiB	2.36kB / 0B	51.4MB / 0B	10 | 2025-03-16 02:45:45 TegraStats: RAM 2004/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@614,19%@614,20%@614,22%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@28C PMIC@50C GPU@26C AO@32.5C thermal@26.5C POM_5V_IN 1916/1724 POM_5V_GPU 39/81 POM_5V_CPU 468/457 | 2025-03-16 02:45:45 PerfStat: 11.012805049          1 436 631      cache-misses              #    3,480 % of all cache refs
2025-03-16 02:45:47 | DockerStats: 34fa6c934d4c	24.98%	32.34MiB / 128MiB	2.36kB / 0B	54.3MB / 0B	10 | 2025-03-16 02:45:48 TegraStats: RAM 2009/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@1479,15%@1479,12%@1479,13%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@27C POM_5V_IN 1717/1764 POM_5V_GPU 38/75 POM_5V_CPU 857/504 | 2025-03-16 02:45:48 PerfStat: 14.015077959            940 475      cache-misses              #    2,219 % of all cache refs
2025-03-16 02:45:49 | DockerStats: 34fa6c934d4c	24.91%	33.2MiB / 128MiB	2.36kB / 0B	54.3MB / 0B	10 | 2025-03-16 02:45:51 TegraStats: RAM 2011/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@1479,13%@1479,10%@1479,12%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27C POM_5V_IN 1876/1763 POM_5V_GPU 39/68 POM_5V_CPU 546/521 | 2025-03-16 02:45:51 PerfStat: 17.017803839          1 107 845      cache-misses              #    2,787 % of all cache refs
2025-03-16 02:45:52 | DockerStats: 34fa6c934d4c	24.94%	35.82MiB / 128MiB	2.36kB / 0B	65.5MB / 0B	10 | 2025-03-16 02:45:53 TegraStats: RAM 2010/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@403,20%@614,9%@614,11%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1605/1781 POM_5V_GPU 78/67 POM_5V_CPU 430/523 | 2025-03-16 02:45:53 PerfStat: 19.019718993          1 417 522      cache-misses              #    3,506 % of all cache refs
2025-03-16 02:45:55 | DockerStats: 34fa6c934d4c	24.84%	37.77MiB / 128MiB	2.36kB / 0B	66.5MB / 0B	10 | 2025-03-16 02:45:56 TegraStats: RAM 2012/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@710,10%@710,14%@710,10%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1684/1782 POM_5V_GPU 39/63 POM_5V_CPU 663/530 | 2025-03-16 02:45:56 PerfStat: 22.021179503          1 289 626      cache-misses              #    3,163 % of all cache refs
2025-03-16 02:45:57 | DockerStats: 34fa6c934d4c	25.06%	39.3MiB / 128MiB	2.36kB / 0B	66.8MB / 0B	10 | 2025-03-16 02:45:58 TegraStats: RAM 2014/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@1224,13%@1224,11%@1224,13%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1952/1793 POM_5V_GPU 39/61 POM_5V_CPU 546/534 | 2025-03-16 02:45:58 PerfStat: 24.022175173          1 639 493      cache-misses              #    3,977 % of all cache refs
2025-03-16 02:46:00 | DockerStats: 34fa6c934d4c	3.49%	40.18MiB / 128MiB	2.36kB / 0B	72.5MB / 0B	10 | 2025-03-16 02:46:01 TegraStats: RAM 2018/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@825,12%@825,8%@825,10%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 2221/1803 POM_5V_GPU 38/63 POM_5V_CPU 739/534 | 2025-03-16 02:46:01 PerfStat: 27.024115477             46 984      cache-misses              #    0,118 % of all cache refs
