2025-03-16 02:48:05 | DockerStats: dceb7961b8aa	27.58%	17.52MiB / 128MiB	1.95kB / 0B	40.4MB / 0B	10 | 2025-03-16 02:48:06 TegraStats: RAM 2000/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@307,7%@307,17%@307,13%@307] EMC_FREQ 14%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1569/1569 POM_5V_GPU 39/39 POM_5V_CPU 274/274 | 2025-03-16 02:48:06 PerfStat: 1.001067499          1 816 986      cache-misses              #    2,884 % of all cache refs
2025-03-16 02:48:08 | DockerStats: dceb7961b8aa	25.97%	19.78MiB / 128MiB	2.16kB / 0B	41.3MB / 0B	10 | 2025-03-16 02:48:09 TegraStats: RAM 2004/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@710,10%@710,8%@710,15%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1257/1364 POM_5V_GPU 39/48 POM_5V_CPU 196/245 | 2025-03-16 02:48:09 PerfStat: 4.004919792            864 934      cache-misses              #    2,249 % of all cache refs
2025-03-16 02:48:11 | DockerStats: dceb7961b8aa	24.90%	23.83MiB / 128MiB	2.36kB / 0B	41.9MB / 0B	10 | 2025-03-16 02:48:11 TegraStats: RAM 2009/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@307,15%@307,15%@307,14%@307] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1180/1322 POM_5V_GPU 39/45 POM_5V_CPU 236/235 | 2025-03-16 02:48:11 PerfStat: 6.007817502            913 234      cache-misses              #    2,411 % of all cache refs
2025-03-16 02:48:13 | DockerStats: dceb7961b8aa	25.15%	25.46MiB / 128MiB	2.36kB / 0B	46.4MB / 0B	10 | 2025-03-16 02:48:15 TegraStats: RAM 2008/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@518,14%@518,14%@518,14%@518] EMC_FREQ 1%@1600 GR3D_FREQ 44%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1759/1463 POM_5V_GPU 195/73 POM_5V_CPU 313/274 | 2025-03-16 02:48:14 PerfStat: 9.014633195            985 040      cache-misses              #    2,592 % of all cache refs
2025-03-16 02:48:16 | DockerStats: dceb7961b8aa	24.87%	28.35MiB / 128MiB	2.36kB / 0B	53.8MB / 0B	10 | 2025-03-16 02:48:17 TegraStats: RAM 2011/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@710,14%@710,16%@710,13%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1605/1486 POM_5V_GPU 39/67 POM_5V_CPU 313/284 | 2025-03-16 02:48:16 PerfStat: 11.020005084          1 266 686      cache-misses              #    3,049 % of all cache refs
2025-03-16 02:48:18 | DockerStats: dceb7961b8aa	25.24%	30.04MiB / 128MiB	2.36kB / 0B	54.8MB / 0B	10 | 2025-03-16 02:48:20 TegraStats: RAM 2013/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@518,13%@518,9%@518,13%@518] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1876/1580 POM_5V_GPU 39/69 POM_5V_CPU 469/329 | 2025-03-16 02:48:19 PerfStat: 14.025157122          1 390 144      cache-misses              #    3,448 % of all cache refs
2025-03-16 02:48:21 | DockerStats: dceb7961b8aa	25.92%	35.44MiB / 128MiB	2.36kB / 0B	65.5MB / 0B	10 | 2025-03-16 02:48:22 TegraStats: RAM 2016/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,20%@204,13%@204,12%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1296/1561 POM_5V_GPU 39/73 POM_5V_CPU 275/322 | 2025-03-16 02:48:23 PerfStat: 17.033456832          1 294 575      cache-misses              #    3,046 % of all cache refs
2025-03-16 02:48:24 | DockerStats: dceb7961b8aa	25.18%	37.11MiB / 128MiB	2.36kB / 0B	66.6MB / 0B	10 | 2025-03-16 02:48:25 TegraStats: RAM 2018/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@403,15%@403,16%@403,13%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1645/1552 POM_5V_GPU 78/69 POM_5V_CPU 313/323 | 2025-03-16 02:48:25 PerfStat: 19.039370911          1 443 418      cache-misses              #    3,330 % of all cache refs
2025-03-16 02:48:26 | DockerStats: dceb7961b8aa	26.80%	39.07MiB / 128MiB	2.36kB / 0B	72.3MB / 0B	10 | 2025-03-16 02:48:28 TegraStats: RAM 2020/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,13%@204,14%@204,12%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1259/1549 POM_5V_GPU 39/67 POM_5V_CPU 196/320 | 2025-03-16 02:48:28 PerfStat: 22.046437490          1 166 235      cache-misses              #    2,659 % of all cache refs
2025-03-16 02:48:29 | DockerStats: dceb7961b8aa	8.53%	39.63MiB / 128MiB	3.57kB / 1.35kB	72.5MB / 0B	12 | 2025-03-16 02:48:30 TegraStats: RAM 2020/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,11%@204,12%@204,11%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1102/1512 POM_5V_GPU 39/64 POM_5V_CPU 157/306 | 2025-03-16 02:48:30 PerfStat: 24.053301209            751 639      cache-misses              #    1,798 % of all cache refs
2025-03-16 02:48:31 | DockerStats: dceb7961b8aa	25.39%	41.19MiB / 128MiB	4.08MB / 19.4kB	72.6MB / 0B	16 | 2025-03-16 02:48:33 TegraStats: RAM 2022/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,11%@204,11%@204,12%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1180/1506 POM_5V_GPU 39/64 POM_5V_CPU 196/298 | 2025-03-16 02:48:33 PerfStat: 27.059801067          1 227 825      cache-misses              #    2,984 % of all cache refs
2025-03-16 02:48:34 | DockerStats: dceb7961b8aa	25.18%	44.11MiB / 128MiB	4.08MB / 19.4kB	72.7MB / 0B	16 | 2025-03-16 02:48:35 TegraStats: RAM 2023/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@921,12%@921,15%@921,16%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1414/1499 POM_5V_GPU 39/64 POM_5V_CPU 353/299 | 2025-03-16 02:48:36 PerfStat: 30.067987182          1 957 221      cache-misses              #    4,783 % of all cache refs
2025-03-16 02:48:37 | DockerStats: dceb7961b8aa	25.14%	49.81MiB / 128MiB	4.08MB / 19.4kB	72.9MB / 0B	16 | 2025-03-16 02:48:38 TegraStats: RAM 2028/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,11%@307,13%@307,15%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1723/1526 POM_5V_GPU 78/63 POM_5V_CPU 313/311 | 2025-03-16 02:48:38 PerfStat: 32.070885726          1 289 742      cache-misses              #    3,141 % of all cache refs
2025-03-16 02:48:39 | DockerStats: dceb7961b8aa	25.02%	56.79MiB / 128MiB	4.34MB / 20.4kB	80.5MB / 0B	24 | 2025-03-16 02:48:40 TegraStats: RAM 2029/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,14%@204,14%@204,9%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1336/1512 POM_5V_GPU 78/63 POM_5V_CPU 235/307 | 2025-03-16 02:48:41 PerfStat: 35.072916031          1 495 981      cache-misses              #    3,664 % of all cache refs
2025-03-16 02:48:42 | DockerStats: dceb7961b8aa	25.28%	58.89MiB / 128MiB	4.61MB / 24.7kB	80.7MB / 0B	23 | 2025-03-16 02:48:43 TegraStats: RAM 2031/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,12%@204,15%@204,14%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27C AO@32C thermal@27C POM_5V_IN 1296/1510 POM_5V_GPU 39/60 POM_5V_CPU 275/315 | 2025-03-16 02:48:43 PerfStat: 37.074049097          1 397 487      cache-misses              #    3,388 % of all cache refs
2025-03-16 02:48:45 | DockerStats: dceb7961b8aa	25.22%	59.14MiB / 128MiB	4.64MB / 101kB	80.7MB / 0B	23 | 2025-03-16 02:48:46 TegraStats: RAM 2035/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,19%@204,16%@204,5%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1220/1514 POM_5V_GPU 39/63 POM_5V_CPU 236/322 | 2025-03-16 02:48:46 PerfStat: 40.075608879          1 643 132      cache-misses              #    4,033 % of all cache refs
2025-03-16 02:48:47 | DockerStats: dceb7961b8aa	24.93%	59.7MiB / 128MiB	5.72MB / 600kB	80.7MB / 0B	23 | 2025-03-16 02:48:48 TegraStats: RAM 2033/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,14%@204,15%@204,13%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27.5C AO@32.5C thermal@27.25C POM_5V_IN 1296/1514 POM_5V_GPU 0/64 POM_5V_CPU 275/323 | 2025-03-16 02:48:49 PerfStat: 43.077393869          1 236 578      cache-misses              #    3,041 % of all cache refs
2025-03-16 02:48:50 | DockerStats: dceb7961b8aa	25.06%	59.64MiB / 128MiB	5.76MB / 743kB	80.7MB / 0B	23 | 2025-03-16 02:48:51 TegraStats: RAM 2034/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@403,21%@403,18%@403,22%@403] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1530/1512 POM_5V_GPU 78/64 POM_5V_CPU 391/323 | 2025-03-16 02:48:51 PerfStat: 45.078441258          2 296 717      cache-misses              #    5,717 % of all cache refs
2025-03-16 02:48:52 | DockerStats: dceb7961b8aa	25.46%	59.67MiB / 128MiB	7.84MB / 2.25MB	80.7MB / 0B	23 | 2025-03-16 02:48:53 TegraStats: RAM 2033/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@307,19%@307,8%@307,15%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32C thermal@27.5C POM_5V_IN 1414/1507 POM_5V_GPU 78/63 POM_5V_CPU 275/321 | 2025-03-16 02:48:54 PerfStat: 48.087078626          1 309 726      cache-misses              #    3,236 % of all cache refs
