2025-03-16 02:50:37 | DockerStats: 095d68607caf	26.10%	16.32MiB / 128MiB	1.64kB / 0B	39.8MB / 0B	10 | 2025-03-16 02:50:38 TegraStats: RAM 2001/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@1326,13%@1326,11%@1326,12%@1326] EMC_FREQ 2%@1600 GR3D_FREQ 0%@384 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.5C POM_5V_IN 2030/2030 POM_5V_GPU 156/156 POM_5V_CPU 467/467 | 2025-03-16 02:50:38 PerfStat: 1.000472705          1 630 954      cache-misses              #    2,704 % of all cache refs
2025-03-16 02:50:39 | DockerStats: 095d68607caf	25.49%	20.88MiB / 128MiB	2.16kB / 0B	41.5MB / 0B	10 | 2025-03-16 02:50:41 TegraStats: RAM 2009/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,15%@204,17%@204,11%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1259/1509 POM_5V_GPU 39/58 POM_5V_CPU 196/303 | 2025-03-16 02:50:41 PerfStat: 4.004414894          1 448 926      cache-misses              #    2,779 % of all cache refs
2025-03-16 02:50:42 | DockerStats: 095d68607caf	24.79%	23.87MiB / 128MiB	2.36kB / 0B	44.5MB / 0B	10 | 2025-03-16 02:50:43 TegraStats: RAM 2008/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@1326,9%@1326,8%@1326,13%@1326] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1684/1496 POM_5V_GPU 39/58 POM_5V_CPU 470/345 | 2025-03-16 02:50:43 PerfStat: 6.008520318          1 215 397      cache-misses              #    2,603 % of all cache refs
2025-03-16 02:50:45 | DockerStats: 095d68607caf	26.20%	26.08MiB / 128MiB	2.36kB / 0B	46.5MB / 0B	10 | 2025-03-16 02:50:46 TegraStats: RAM 2014/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@614,17%@614,16%@614,18%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@28C AO@32.5C thermal@26.75C POM_5V_IN 1876/1719 POM_5V_GPU 39/52 POM_5V_CPU 508/489 | 2025-03-16 02:50:46 PerfStat: 9.012073807          1 627 749      cache-misses              #    3,558 % of all cache refs
2025-03-16 02:50:47 | DockerStats: 095d68607caf	24.84%	29.53MiB / 128MiB	2.36kB / 0B	53.9MB / 0B	10 | 2025-03-16 02:50:48 TegraStats: RAM 2013/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@403,14%@403,13%@403,17%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1723/1744 POM_5V_GPU 78/53 POM_5V_CPU 391/485 | 2025-03-16 02:50:48 PerfStat: 11.015906262          1 242 963      cache-misses              #    2,633 % of all cache refs
2025-03-16 02:50:50 | DockerStats: 095d68607caf	27.90%	29.96MiB / 128MiB	2.36kB / 0B	54.5MB / 0B	10 | 2025-03-16 02:50:51 TegraStats: RAM 2016/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@1479,10%@1479,15%@1479,12%@1479] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1720/1763 POM_5V_GPU 78/55 POM_5V_CPU 702/512 | 2025-03-16 02:50:51 PerfStat: 14.020138348          1 535 727      cache-misses              #    3,440 % of all cache refs
2025-03-16 02:50:52 | DockerStats: 095d68607caf	24.91%	32.49MiB / 128MiB	2.36kB / 0B	65.6MB / 0B	10 | 2025-03-16 02:50:53 TegraStats: RAM 2015/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@614,10%@614,10%@614,16%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.5C POM_5V_IN 1876/1749 POM_5V_GPU 39/51 POM_5V_CPU 430/497 | 2025-03-16 02:50:54 PerfStat: 17.025973515          1 677 127      cache-misses              #    3,693 % of all cache refs
2025-03-16 02:50:55 | DockerStats: 095d68607caf	24.44%	34.57MiB / 128MiB	2.36kB / 0B	66.2MB / 0B	10 | 2025-03-16 02:50:56 TegraStats: RAM 2020/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@403,16%@403,21%@403,17%@403] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1723/1776 POM_5V_GPU 39/53 POM_5V_CPU 352/503 | 2025-03-16 02:50:56 PerfStat: 19.027977419          1 670 913      cache-misses              #    3,748 % of all cache refs
2025-03-16 02:50:58 | DockerStats: 095d68607caf	25.45%	35.66MiB / 128MiB	2.36kB / 0B	66.7MB / 0B	10 | 2025-03-16 02:50:59 TegraStats: RAM 2019/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,16%@204,12%@204,5%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1412/1739 POM_5V_GPU 39/54 POM_5V_CPU 274/471 | 2025-03-16 02:50:59 PerfStat: 22.030169911          1 042 147      cache-misses              #    2,433 % of all cache refs
2025-03-16 02:51:00 | DockerStats: 095d68607caf	8.85%	37.79MiB / 128MiB	2.36kB / 0B	72.6MB / 0B	10 | 2025-03-16 02:51:01 TegraStats: RAM 2023/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,18%@204,13%@204,16%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1569/1739 POM_5V_GPU 78/55 POM_5V_CPU 313/463 | 2025-03-16 02:51:01 PerfStat: 24.031875377          1 372 766      cache-misses              #    3,152 % of all cache refs
2025-03-16 02:51:03 | DockerStats: 095d68607caf	27.29%	40.79MiB / 128MiB	4.08MB / 16.9kB	72.9MB / 0B	16 | 2025-03-16 02:51:04 TegraStats: RAM 2025/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@403,12%@518,9%@518,15%@518] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@26.75C POM_5V_IN 1259/1712 POM_5V_GPU 0/53 POM_5V_CPU 314/445 | 2025-03-16 02:51:04 PerfStat: 27.033935681          1 072 275      cache-misses              #    2,550 % of all cache refs
