2025-03-16 02:52:45 | DockerStats: 517431f3aa6d	26.54%	18.27MiB / 128MiB	1.38kB / 0B	40.5MB / 0B	10 | 2025-03-16 02:52:46 TegraStats: RAM 2007/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,17%@307,9%@307,20%@307] EMC_FREQ 15%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.75C POM_5V_IN 1762/1762 POM_5V_GPU 39/39 POM_5V_CPU 313/313 | 2025-03-16 02:52:46 PerfStat: 1.000476194          1 951 957      cache-misses              #    2,976 % of all cache refs
2025-03-16 02:52:48 | DockerStats: 517431f3aa6d	26.21%	21.23MiB / 128MiB	2.16kB / 0B	41.5MB / 0B	10 | 2025-03-16 02:52:49 TegraStats: RAM 2008/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@710,16%@710,12%@710,8%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1336/1462 POM_5V_GPU 39/48 POM_5V_CPU 314/303 | 2025-03-16 02:52:49 PerfStat: 4.003409732          1 040 932      cache-misses              #    2,237 % of all cache refs
2025-03-16 02:52:50 | DockerStats: 517431f3aa6d	26.27%	23.99MiB / 128MiB	2.36kB / 0B	44.6MB / 0B	10 | 2025-03-16 02:52:51 TegraStats: RAM 2012/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@403,12%@403,7%@403,12%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1798/1567 POM_5V_GPU 39/52 POM_5V_CPU 430/358 | 2025-03-16 02:52:51 PerfStat: 6.004854831          1 555 770      cache-misses              #    3,259 % of all cache refs
2025-03-16 02:52:53 | DockerStats: 517431f3aa6d	25.42%	26.19MiB / 128MiB	2.36kB / 0B	46.5MB / 0B	10 | 2025-03-16 02:52:54 TegraStats: RAM 2013/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,13%@204,16%@204,12%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1451/1541 POM_5V_GPU 39/47 POM_5V_CPU 274/334 | 2025-03-16 02:52:54 PerfStat: 9.006339144            913 739      cache-misses              #    2,153 % of all cache refs
2025-03-16 02:52:56 | DockerStats: 517431f3aa6d	24.92%	28.03MiB / 128MiB	2.36kB / 0B	53.9MB / 0B	10 | 2025-03-16 02:52:56 TegraStats: RAM 2014/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@1224,12%@1224,10%@1224,17%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1530/1532 POM_5V_GPU 39/46 POM_5V_CPU 353/338 | 2025-03-16 02:52:56 PerfStat: 11.007153927            821 638      cache-misses              #    1,895 % of all cache refs
2025-03-16 02:52:58 | DockerStats: 517431f3aa6d	24.98%	29.25MiB / 128MiB	2.36kB / 0B	54.5MB / 0B	10 | 2025-03-16 02:52:59 TegraStats: RAM 2013/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,13%@307,11%@307,15%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1375/1539 POM_5V_GPU 39/44 POM_5V_CPU 235/335 | 2025-03-16 02:52:59 PerfStat: 14.010053351            850 473      cache-misses              #    2,155 % of all cache refs
2025-03-16 02:53:01 | DockerStats: 517431f3aa6d	25.83%	32.95MiB / 128MiB	2.36kB / 0B	65.6MB / 0B	10 | 2025-03-16 02:53:02 TegraStats: RAM 2020/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@518,19%@518,20%@518,23%@518] EMC_FREQ 2%@1600 GR3D_FREQ 58%@307 APE 25 PLL@26.5C CPU@27C PMIC@50C GPU@27C AO@33C thermal@27.25C POM_5V_IN 1991/1572 POM_5V_GPU 156/51 POM_5V_CPU 429/340 | 2025-03-16 02:53:02 PerfStat: 17.011961363          1 576 331      cache-misses              #    3,690 % of all cache refs
2025-03-16 02:53:04 | DockerStats: 517431f3aa6d	25.17%	34.88MiB / 128MiB	2.36kB / 0B	66.7MB / 0B	10 | 2025-03-16 02:53:05 TegraStats: RAM 2018/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,13%@204,10%@204,11%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@307 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1259/1573 POM_5V_GPU 39/55 POM_5V_CPU 236/350 | 2025-03-16 02:53:04 PerfStat: 19.013842402          1 203 175      cache-misses              #    2,868 % of all cache refs
2025-03-16 02:53:06 | DockerStats: 517431f3aa6d	24.66%	36.52MiB / 128MiB	2.36kB / 0B	67MB / 0B	10 | 2025-03-16 02:53:08 TegraStats: RAM 2022/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@204,12%@204,8%@307,11%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@307 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1490/1557 POM_5V_GPU 78/54 POM_5V_CPU 274/338 | 2025-03-16 02:53:07 PerfStat: 22.018568657          1 578 574      cache-misses              #    3,815 % of all cache refs
2025-03-16 02:53:09 | DockerStats: 517431f3aa6d	3.36%	37.54MiB / 128MiB	2.36kB / 0B	72.6MB / 0B	10 | 2025-03-16 02:53:10 TegraStats: RAM 2022/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,5%@102,6%@102,6%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@307 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1180/1533 POM_5V_GPU 78/55 POM_5V_CPU 157/331 | 2025-03-16 02:53:09 PerfStat: 24.021790588            342 996      cache-misses              #    0,850 % of all cache refs
2025-03-16 02:53:11 | DockerStats: 517431f3aa6d	27.02%	44.59MiB / 128MiB	4.08MB / 20.2kB	72.7MB / 0B	16 | 2025-03-16 02:53:13 TegraStats: RAM 2027/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,15%@204,10%@204,12%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32C thermal@27C POM_5V_IN 1259/1510 POM_5V_GPU 39/53 POM_5V_CPU 275/321 | 2025-03-16 02:53:12 PerfStat: 27.026194862          1 818 792      cache-misses              #    4,568 % of all cache refs
