2025-03-16 03:08:23 | DockerStats: 68fecb8e6b49	25.94%	13.38MiB / 128MiB	1.75kB / 0B	39.6MB / 0B	10 | 2025-03-16 03:08:24 TegraStats: RAM 1995/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@825,14%@825,15%@825,12%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1837/1837 POM_5V_GPU 39/39 POM_5V_CPU 391/391 | 2025-03-16 03:08:24 PerfStat: 1.001409480          1 244 881      cache-misses              #    2,776 % of all cache refs
2025-03-16 03:08:26 | DockerStats: 68fecb8e6b49	27.42%	19.7MiB / 128MiB	2.16kB / 0B	41.3MB / 0B	10 | 2025-03-16 03:08:27 TegraStats: RAM 1999/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@307,14%@204,16%@307,10%@307] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@31.5C thermal@26.75C POM_5V_IN 1414/1567 POM_5V_GPU 39/39 POM_5V_CPU 235/283 | 2025-03-16 03:08:27 PerfStat: 4.005269117            923 023      cache-misses              #    2,165 % of all cache refs
2025-03-16 03:08:28 | DockerStats: 68fecb8e6b49	24.94%	21.97MiB / 128MiB	2.36kB / 0B	41.3MB / 0B	10 | 2025-03-16 03:08:29 TegraStats: RAM 2001/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@1479,18%@1479,14%@1479,15%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27.5C PMIC@50C GPU@26C AO@31.5C thermal@26.5C POM_5V_IN 1759/1561 POM_5V_GPU 39/39 POM_5V_CPU 508/339 | 2025-03-16 03:08:29 PerfStat: 6.008547975          1 208 406      cache-misses              #    3,006 % of all cache refs
2025-03-16 03:08:31 | DockerStats: 68fecb8e6b49	26.95%	24.62MiB / 128MiB	2.36kB / 0B	46.4MB / 0B	10 | 2025-03-16 03:08:32 TegraStats: RAM 2005/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@403,11%@403,12%@403,11%@403] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1798/1648 POM_5V_GPU 39/34 POM_5V_CPU 430/382 | 2025-03-16 03:08:32 PerfStat: 9.013349491          1 030 610      cache-misses              #    2,478 % of all cache refs
2025-03-16 03:08:33 | DockerStats: 68fecb8e6b49	27.33%	27.84MiB / 128MiB	2.36kB / 0B	53.8MB / 0B	10 | 2025-03-16 03:08:34 TegraStats: RAM 2006/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@307,12%@307,17%@307,13%@307] EMC_FREQ 11%@204 GR3D_FREQ 70%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1645/1644 POM_5V_GPU 117/42 POM_5V_CPU 313/369 | 2025-03-16 03:08:34 PerfStat: 11.015923137          1 043 234      cache-misses              #    2,477 % of all cache refs
2025-03-16 03:08:36 | DockerStats: 68fecb8e6b49	26.24%	29.23MiB / 128MiB	2.36kB / 0B	54.3MB / 0B	10 | 2025-03-16 03:08:37 TegraStats: RAM 2009/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@1224,11%@1224,8%@1224,12%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27.5C AO@32C thermal@26.75C POM_5V_IN 1762/1691 POM_5V_GPU 0/47 POM_5V_CPU 469/393 | 2025-03-16 03:08:37 PerfStat: 14.020514704          1 154 226      cache-misses              #    2,764 % of all cache refs
2025-03-16 03:08:39 | DockerStats: 68fecb8e6b49	25.47%	32.66MiB / 128MiB	2.36kB / 0B	65.5MB / 0B	10 | 2025-03-16 03:08:39 TegraStats: RAM 2011/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@307,12%@307,19%@307,9%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1723/1700 POM_5V_GPU 39/46 POM_5V_CPU 352/388 | 2025-03-16 03:08:40 PerfStat: 17.026391694          1 261 497      cache-misses              #    2,984 % of all cache refs
2025-03-16 03:08:41 | DockerStats: 68fecb8e6b49	24.82%	34.45MiB / 128MiB	2.36kB / 0B	66.1MB / 0B	10 | 2025-03-16 03:08:42 TegraStats: RAM 2014/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@403,15%@307,16%@307,14%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@384 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.25C POM_5V_IN 1762/1737 POM_5V_GPU 156/53 POM_5V_CPU 352/417 | 2025-03-16 03:08:42 PerfStat: 19.028367733          1 133 729      cache-misses              #    2,757 % of all cache refs
2025-03-16 03:08:44 | DockerStats: 68fecb8e6b49	24.69%	36.71MiB / 128MiB	2.36kB / 0B	66.8MB / 0B	10 | 2025-03-16 03:08:45 TegraStats: RAM 2016/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@1479,19%@1479,22%@1479,20%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1952/1709 POM_5V_GPU 39/49 POM_5V_CPU 468/406 | 2025-03-16 03:08:45 PerfStat: 22.030130120          1 422 538      cache-misses              #    3,465 % of all cache refs
2025-03-16 03:08:46 | DockerStats: 68fecb8e6b49	6.65%	37.57MiB / 128MiB	2.36kB / 0B	72.5MB / 0B	10 | 2025-03-16 03:08:47 TegraStats: RAM 2016/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,12%@204,14%@204,9%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@31.5C thermal@26.75C POM_5V_IN 1259/1687 POM_5V_GPU 39/50 POM_5V_CPU 236/397 | 2025-03-16 03:08:47 PerfStat: 24.032192930          1 078 850      cache-misses              #    2,608 % of all cache refs
2025-03-16 03:08:49 | DockerStats: 68fecb8e6b49	21.14%	40.09MiB / 128MiB	4.08MB / 17.8kB	72.6MB / 0B	16 | 2025-03-16 03:08:50 TegraStats: RAM 2020/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@403,12%@403,15%@403,12%@403] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1490/1665 POM_5V_GPU 39/49 POM_5V_CPU 353/386 | 2025-03-16 03:08:50 PerfStat: 27.036068452          1 604 952      cache-misses              #    4,100 % of all cache refs
2025-03-16 03:08:52 | DockerStats: 68fecb8e6b49	24.89%	42.25MiB / 128MiB	4.08MB / 17.8kB	72.6MB / 0B	16 | 2025-03-16 03:08:52 TegraStats: RAM 2021/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@1479,15%@1479,13%@1479,12%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.25C POM_5V_IN 1645/1654 POM_5V_GPU 39/48 POM_5V_CPU 470/389 | 2025-03-16 03:08:53 PerfStat: 30.038408394            947 405      cache-misses              #    2,461 % of all cache refs
2025-03-16 03:08:54 | DockerStats: 68fecb8e6b49	24.69%	46.9MiB / 128MiB	4.08MB / 17.8kB	72.6MB / 0B	16 | 2025-03-16 03:08:55 TegraStats: RAM 2025/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@710,19%@710,24%@710,17%@710] EMC_FREQ 1%@1600 GR3D_FREQ 84%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.5C POM_5V_IN 2143/1691 POM_5V_GPU 194/57 POM_5V_CPU 506/393 | 2025-03-16 03:08:55 PerfStat: 32.039442189          2 162 713      cache-misses              #    5,584 % of all cache refs
2025-03-16 03:08:57 | DockerStats: 68fecb8e6b49	25.05%	51.53MiB / 128MiB	4.47MB / 20.1kB	72.7MB / 0B	16 | 2025-03-16 03:08:57 TegraStats: RAM 2028/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,11%@204,6%@204,21%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1490/1676 POM_5V_GPU 39/56 POM_5V_CPU 274/386 | 2025-03-16 03:08:58 PerfStat: 35.040558947          1 838 993      cache-misses              #    4,674 % of all cache refs
