d_timestamp,container_id,d_cpu(proc),d_memory_usage(max_128),d_net_io,io,pid,t_timestamp,t_ram(max_3964MB),t_swap(max_1982MB),t_cpu(arr[4]),t_cpu_temp,thermal,pom_5v_in,pom_5v_cpu
2025-03-16 02:27:45,4855b4006e87,25.16,19.52,1.95 / 0B,38.9 / 0B,10,2025-03-16 02:27:46,2041,37,"[38%@518,20%@518,13%@518,11%@518]",27,26.75,1723,352
2025-03-16 02:27:48,4855b4006e87,26.59,24.54,2.16 / 0B,39.4 / 0B,10,2025-03-16 02:27:49,2049,37,"[24%@204,13%@204,10%@204,14%@204]",27,26.5,1180,275
2025-03-16 02:27:50,4855b4006e87,25.19,25.98,2.36 / 0B,42.5 / 0B,10,2025-03-16 02:27:51,2051,37,"[22%@921,8%@921,7%@921,16%@921]",27,27,1645,470
2025-03-16 02:27:53,4855b4006e87,25.71,29.15,2.36 / 0B,51.8 / 0B,10,2025-03-16 02:27:54,2053,37,"[23%@204,7%@204,9%@204,13%@204]",27,26.5,1414,314
2025-03-16 02:27:56,4855b4006e87,26.03,30.6,2.36 / 0B,52.4 / 0B,10,2025-03-16 02:27:56,2055,37,"[18%@204,17%@204,16%@204,12%@204]",27,27.25,1259,275
2025-03-16 02:27:58,4855b4006e87,25.58,31.97,2.36 / 0B,62.9 / 0B,10,2025-03-16 02:27:59,2057,37,"[20%@204,9%@204,5%@204,15%@204]",27.5,26.5,1605,274
2025-03-16 02:28:01,4855b4006e87,25.41,36.61,2.36 / 0B,63.6 / 0B,10,2025-03-16 02:28:02,2063,37,"[20%@102,20%@102,13%@102,13%@102]",27,26.75,1220,235
2025-03-16 02:28:03,4855b4006e87,24.72,38.59,2.36 / 0B,64.9 / 0B,10,2025-03-16 02:28:05,2062,37,"[25%@518,8%@518,10%@518,14%@518]",27,26.75,1952,391
2025-03-16 02:28:06,4855b4006e87,22.72,39.77,2.36 / 0B,70.6 / 0B,10,2025-03-16 02:28:07,2068,37,"[19%@204,12%@204,14%@204,16%@204]",27,26.75,1336,196
2025-03-16 02:28:09,4855b4006e87,8.95,46.63,4.2 / 1.77,70.6 / 0B,14,2025-03-16 02:28:10,2073,37,"[14%@614,9%@614,10%@614,14%@614]",27.5,26.5,1490,274
2025-03-16 02:28:11,4855b4006e87,25.09,48.61,4.08MB / 20.6,70.7 / 0B,16,2025-03-16 02:28:13,2074,37,"[19%@204,16%@204,9%@204,10%@204]",27,26.75,1259,196
2025-03-16 02:28:14,4855b4006e87,25.95,53.88,4.08MB / 20.6,70.7 / 0B,16,2025-03-16 02:28:15,2079,37,"[12%@1036,20%@1036,15%@1036,6%@1036]",27,26.75,1451,313
2025-03-16 02:28:16,4855b4006e87,24.76,57.38,4.08MB / 20.6,70.7 / 0B,16,2025-03-16 02:28:18,2081,37,"[21%@204,12%@204,11%@204,12%@204]",27,27,1837,313
2025-03-16 02:28:19,4855b4006e87,25.03,64.44,4.38MB / 24,78.4 / 0B,22,2025-03-16 02:28:20,2083,37,"[18%@1326,20%@1326,14%@1326,13%@1326]",26.5,26.75,1837,663
2025-03-16 02:28:22,4855b4006e87,26.01,65.66,4.61MB / 26.2,78.6 / 0B,22,2025-03-16 02:28:23,2084,37,"[23%@204,13%@204,13%@204,9%@204]",27,26.75,1259,236
2025-03-16 02:28:24,4855b4006e87,25.24,66.16,4.65MB / 131,78.6 / 0B,22,2025-03-16 02:28:25,2086,37,"[21%@518,12%@518,18%@518,17%@825]",27,26.75,1759,508
