timestamp,container_id,cpu_percent,mem_usage,mem_limit,net_in,net_out,block_in,block_out,pids,docker_file,cycles,instructions,perf_file,ram_used,ram_total,swap_used,swap_total,avg_cpu,cpu_temp,tegra_file,scenario
2025-03-10 18:07:33,b590f4fa6eff,40.61,21.55MiB,512MiB,1.95kB,0B,39.4MB,0B,10,docker_stats_20250310_180733.log,506946798.0,265830708.0,perf_stat_20250310_180732.log,1985,3964,53,1982,20.75,28.5,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:36,b590f4fa6eff,40.85,29.07MiB,512MiB,2.16kB,0B,51.8MB,0B,10,docker_stats_20250310_180733.log,379376863.0,244142183.0,perf_stat_20250310_180732.log,1988,3964,53,1982,18.5,28.5,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:38,b590f4fa6eff,40.91,32.37MiB,512MiB,2.36kB,0B,63.6MB,0B,10,docker_stats_20250310_180733.log,302913281.0,172859981.0,perf_stat_20250310_180732.log,1983,3964,53,1982,16.75,28.5,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:41,b590f4fa6eff,40.68,36.58MiB,512MiB,2.36kB,0B,70.5MB,0B,10,docker_stats_20250310_180733.log,356887702.0,207281469.0,perf_stat_20250310_180732.log,1997,3964,53,1982,17.75,28.5,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:44,b590f4fa6eff,9.38,38.1MiB,512MiB,1.92MB,12.6kB,70.7MB,0B,16,docker_stats_20250310_180733.log,76208478.0,37482870.0,perf_stat_20250310_180732.log,1998,3964,53,1982,12.0,28.5,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:46,b590f4fa6eff,39.77,47.55MiB,512MiB,4.07MB,17.2kB,70.8MB,0B,16,docker_stats_20250310_180733.log,373705706.0,208958164.0,perf_stat_20250310_180732.log,2002,3964,53,1982,22.5,29.0,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:49,b590f4fa6eff,41.2,57.15MiB,512MiB,4.6MB,28.5kB,78.6MB,0B,24,docker_stats_20250310_180733.log,404041536.0,209406796.0,perf_stat_20250310_180732.log,2010,3964,53,1982,20.75,28.5,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:51,b590f4fa6eff,40.34,58.02MiB,512MiB,6.19MB,49.5kB,78.6MB,0B,24,docker_stats_20250310_180733.log,391538316.0,205457387.0,perf_stat_20250310_180732.log,2010,3964,53,1982,22.25,29.5,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:54,b590f4fa6eff,40.85,60.49MiB,512MiB,7.61MB,55kB,78.6MB,0B,24,docker_stats_20250310_180733.log,411173054.0,202776218.0,perf_stat_20250310_180732.log,2017,3964,53,1982,24.25,29.0,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:57,b590f4fa6eff,40.45,61.35MiB,512MiB,7.61MB,55.1kB,78.6MB,0B,24,docker_stats_20250310_180733.log,394977728.0,228887261.0,perf_stat_20250310_180732.log,2019,3964,53,1982,23.75,29.0,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
2025-03-10 18:07:59,b590f4fa6eff,40.12,66.21MiB,512MiB,7.61MB,55.2kB,78.6MB,0B,24,docker_stats_20250310_180733.log,525903213.0,293823025.0,perf_stat_20250310_180732.log,2024,3964,53,1982,30.75,29.0,tegrastats_20250310_180733.log,docker_stats_20250310_180733.log
