GNN_second.py

Episode 0/1000, Average Reward: -28.61, Average Latency: 1.73, Epsilon: 1.000
Episode 50/1000, Average Reward: -23.84, Average Latency: 1.70, Epsilon: 0.050
Episode 100/1000, Average Reward: -15.31, Average Latency: 1.56, Epsilon: 0.050
Episode 150/1000, Average Reward: -11.51, Average Latency: 1.61, Epsilon: 0.050
Episode 200/1000, Average Reward: -7.38, Average Latency: 1.58, Epsilon: 0.050
Episode 250/1000, Average Reward: -10.51, Average Latency: 1.61, Epsilon: 0.050
Episode 300/1000, Average Reward: -12.91, Average Latency: 1.62, Epsilon: 0.050
Episode 350/1000, Average Reward: -13.41, Average Latency: 1.61, Epsilon: 0.050
Episode 400/1000, Average Reward: -13.42, Average Latency: 1.58, Epsilon: 0.050
Episode 450/1000, Average Reward: -13.91, Average Latency: 1.60, Epsilon: 0.050
Episode 500/1000, Average Reward: -13.29, Average Latency: 1.60, Epsilon: 0.050
Episode 550/1000, Average Reward: -13.10, Average Latency: 1.58, Epsilon: 0.050
Episode 600/1000, Average Reward: -13.66, Average Latency: 1.58, Epsilon: 0.050
Episode 650/1000, Average Reward: -11.97, Average Latency: 1.60, Epsilon: 0.050
Episode 700/1000, Average Reward: -11.32, Average Latency: 1.59, Epsilon: 0.050
Episode 750/1000, Average Reward: -10.14, Average Latency: 1.59, Epsilon: 0.050
Episode 800/1000, Average Reward: -8.46, Average Latency: 1.57, Epsilon: 0.050
Episode 850/1000, Average Reward: -9.83, Average Latency: 1.59, Epsilon: 0.050
Episode 900/1000, Average Reward: -11.15, Average Latency: 1.61, Epsilon: 0.050
Episode 950/1000, Average Reward: -9.69, Average Latency: 1.59, Epsilon: 0.050


Transformer_second

State size: 41, Action size: 10
Episode 0/2000, Average Reward: -25.22, Average Latency: 1.64, Epsilon: 0.998
Episode 50/2000, Average Reward: -26.86, Average Latency: 1.66, Epsilon: 0.903
Episode 100/2000, Average Reward: -25.90, Average Latency: 1.62, Epsilon: 0.817
Episode 150/2000, Average Reward: -26.28, Average Latency: 1.64, Epsilon: 0.739
Episode 200/2000, Average Reward: -26.08, Average Latency: 1.63, Epsilon: 0.669
Episode 250/2000, Average Reward: -26.20, Average Latency: 1.65, Epsilon: 0.605
Episode 300/2000, Average Reward: -26.43, Average Latency: 1.66, Epsilon: 0.547
Episode 350/2000, Average Reward: -26.11, Average Latency: 1.62, Epsilon: 0.495
Episode 400/2000, Average Reward: -26.30, Average Latency: 1.64, Epsilon: 0.448
Episode 450/2000, Average Reward: -26.39, Average Latency: 1.64, Epsilon: 0.405
Episode 500/2000, Average Reward: -26.83, Average Latency: 1.66, Epsilon: 0.367
Episode 550/2000, Average Reward: -26.40, Average Latency: 1.65, Epsilon: 0.332
Episode 600/2000, Average Reward: -26.50, Average Latency: 1.64, Epsilon: 0.300
Episode 650/2000, Average Reward: -26.44, Average Latency: 1.64, Epsilon: 0.272
Episode 700/2000, Average Reward: -27.25, Average Latency: 1.66, Epsilon: 0.246
Episode 750/2000, Average Reward: -27.01, Average Latency: 1.66, Epsilon: 0.222
Episode 800/2000, Average Reward: -26.92, Average Latency: 1.66, Epsilon: 0.201
Episode 850/2000, Average Reward: -26.83, Average Latency: 1.65, Epsilon: 0.182
Episode 900/2000, Average Reward: -27.12, Average Latency: 1.65, Epsilon: 0.165
Episode 950/2000, Average Reward: -26.85, Average Latency: 1.65, Epsilon: 0.149
Episode 1000/2000, Average Reward: -27.17, Average Latency: 1.68, Epsilon: 0.135
Episode 1050/2000, Average Reward: -27.60, Average Latency: 1.69, Epsilon: 0.122
Episode 1100/2000, Average Reward: -28.12, Average Latency: 1.71, Epsilon: 0.110
Episode 1150/2000, Average Reward: -28.18, Average Latency: 1.71, Epsilon: 0.100
Episode 1200/2000, Average Reward: -27.57, Average Latency: 1.67, Epsilon: 0.090
Episode 1250/2000, Average Reward: -28.02, Average Latency: 1.70, Epsilon: 0.082
Episode 1300/2000, Average Reward: -27.83, Average Latency: 1.70, Epsilon: 0.074
